direction,seed,component,kind,side,sublayer,layer,train_d_toxic_vs_reference,train_auc_toxic_vs_reference,dev_d_toxic_vs_reference,dev_auc_toxic_vs_reference,dev_d_toxic_vs_generated,dev_auc_toxic_vs_generated,dev_d_copy_vs_ordinary,dev_auc_copy_vs_ordinary,dev_d_template_vs_ordinary,dev_auc_template_vs_ordinary,control_language_max_auc,control_corr_token_count,train_rows_per_cell,dev_rows_per_cell,language_balanced
probe,42,enc.self.L0.head0,head,encoder,self,0,-0.4705107,0.3753803072982505,-0.31593087,0.4118274653254077,-0.23511606,0.43784822774306087,-0.116509564,0.45470819906910137,-0.48722866,0.33863504916136494,0.6837943910989178,0.06986986462751746,122,27,True
probe,42,enc.self.L0.head1,head,encoder,self,0,-0.22610368,0.43501514593514945,-0.2595742,0.44075259530220656,-0.29256544,0.43550271808159324,0.19257328,0.5647153598281418,-1.1463192,0.2417582417582418,0.6525682060661484,0.12330468314147405,122,27,True
probe,42,enc.self.L0.head2,head,encoder,self,0,0.11614954,0.4950788152660409,0.10906922,0.5070195938965943,0.16025226,0.5207962878287524,-0.13439226,0.4479949874686717,1.002645,0.6471949103528051,0.681165218716659,-0.1310846257380497,122,27,True
probe,42,enc.self.L0.head3,head,encoder,self,0,-0.21567221,0.44714765379013344,-0.1736168,0.45265796203153313,-0.15322639,0.4613795322528747,0.4632051,0.6347117794486216,-0.5433226,0.3212839791787161,0.6655235482395976,0.048790330919697325,122,27,True
probe,42,enc.self.L0.head4,head,encoder,self,0,0.17472008,0.5470320271001091,0.14170906,0.533218174736236,0.06322436,0.518027400972074,0.21166137,0.5693698532044398,0.14090186,0.5216888374783112,0.6923487273281512,0.15350591821907414,122,27,True
probe,42,enc.self.L0.head5,head,encoder,self,0,-0.09351811,0.4757888991741899,-0.1008186,0.47530017443140443,-0.06994736,0.4854188893969415,0.21563464,0.5561224489795918,-0.18082944,0.3976286871023713,0.6396319158664838,0.13101790376256117,122,27,True
probe,42,enc.self.L0.head6,head,encoder,self,0,-0.33752358,0.4047033686019622,-0.3954826,0.3876272248471608,-0.2742455,0.421480465376213,0.09225702,0.529985678481919,-0.31797552,0.39733950260266054,0.6626085962505717,0.13481213288536456,122,27,True
probe,42,enc.self.L0.head7,head,encoder,self,0,-0.005637976,0.48495360002123417,-0.18464752,0.4552998357296483,-0.0058269547,0.49836576402648647,-0.071841285,0.5010741138560688,-0.025519168,0.534412955465587,0.7494855967078189,-0.15005423700448609,122,27,True
probe,42,enc.self.L0.head8,head,encoder,self,0,-0.09334503,0.45526474696500674,-0.07172804,0.44425815847855166,0.013771697,0.47733238496841607,-0.139163,0.4470103831006087,0.65243447,0.5375939849624061,0.6739254686785552,0.027935055687163018,122,27,True
probe,42,enc.self.L0.head9,head,encoder,self,0,0.10216207,0.5238237431196313,0.26780877,0.5602804450541076,0.25187317,0.5536080204575861,-0.09020363,0.4811134980307913,0.85961676,0.678716020821284,0.666952446273434,-0.03946850907343812,122,27,True
probe,42,enc.self.L0.head10,head,encoder,self,0,0.16334273,0.5246150477271143,0.13885535,0.5195346237870243,0.091598876,0.5096868702264221,0.3077861,0.5727712137486574,1.2437295,0.7478311162521689,0.6868427069044352,-0.07109473330374458,122,27,True
probe,42,enc.self.L0.head11,head,encoder,self,0,-0.20832261,0.4542859844526063,-0.2867637,0.4523192602753645,-0.2109204,0.46118477874307784,0.29925105,0.5662370211242391,-0.047686134,0.4765760555234239,0.7480948026215515,0.11122768823905443,122,27,True
probe,42,enc.self.L1.head0,head,encoder,self,1,0.102813154,0.5038992903142325,0.17343922,0.5307456519162053,0.11676856,0.516257684296093,-0.2500446,0.4399391335481561,0.34847763,0.6191440138808559,0.8131382411217802,0.032257764181322805,122,27,True
probe,42,enc.self.L1.head1,head,encoder,self,1,0.0052530915,0.5003815514878849,0.027023805,0.5047502921302647,0.025820004,0.502557198259073,-0.0005379707,0.5153061224489796,0.30254158,0.5853094274146906,0.5884011583600062,-0.049696612415957506,122,27,True
probe,42,enc.self.L1.head2,head,encoder,self,1,0.040066667,0.4812011240838617,0.053806778,0.4690003217666684,0.1501669,0.5131162255076293,-0.2669933,0.43170426065162903,1.508078,0.8452862926547137,0.7360539551897577,-0.17052767470748975,122,27,True
probe,42,enc.self.L1.head3,head,encoder,self,1,-0.1977048,0.4540504178818252,-0.1942047,0.45191281816796225,-0.13131648,0.4710579349353926,0.20232022,0.5350877192982456,-0.70366,0.2611336032388665,0.7299192196311538,0.1280864818022208,122,27,True
probe,42,enc.self.L1.head4,head,encoder,self,1,-0.17724112,0.43183084993082305,-0.16179228,0.4342495215837694,-0.047685068,0.47291232705041575,0.1132641,0.5426065162907268,0.55417365,0.6246385193753615,0.7201455570797134,-0.16878474221650594,122,27,True
probe,42,enc.self.L1.head5,head,encoder,self,1,-0.15828787,0.43652642161107624,-0.2446831,0.42713678470422867,-0.0759505,0.47366593845789096,0.08807075,0.5387576083064805,-0.2650504,0.4051474840948525,0.6829180003048315,-0.06526121581106856,122,27,True
probe,42,enc.self.L1.head6,head,encoder,self,1,-0.13483861,0.4679646052932804,-0.1299956,0.4712018831817642,-0.09383522,0.4871039306338803,0.10469426,0.5051915503043323,-0.4443989,0.3909774436090226,0.6933965858862978,0.16145627690241496,122,27,True
probe,42,enc.self.L1.head7,head,encoder,self,1,-0.21551795,0.43821437221508885,-0.28488585,0.4221748039763586,-0.1241043,0.4654016156073769,0.10959217,0.5160221983530255,0.060715288,0.523423944476576,0.6359167809785095,0.0025591631467097717,122,27,True
probe,42,enc.self.L1.head8,head,encoder,self,1,-0.059107643,0.5249294129747413,-0.04386781,0.5340141238632322,-0.08607223,0.5088316482920965,-0.0940624,0.4278553526673828,-0.7958854,0.39878542510121456,0.6960257582685566,0.05542863793637362,122,27,True
probe,42,enc.self.L1.head9,head,encoder,self,1,-0.19963495,0.4623483332835657,-0.17208537,0.4614980778675337,-0.106048755,0.48767972361936696,0.2423302,0.5453813104189044,0.5908733,0.7111046847888952,0.6458809632677945,-0.09746002189997194,122,27,True
probe,42,enc.self.L1.head10,head,encoder,self,1,0.114122614,0.5221664825266007,0.20521922,0.5340649291266576,0.12161139,0.518222154481871,-0.120840855,0.48075546007876835,0.8227689,0.6547137073452863,0.6973212924859016,-0.06690771176368565,122,27,True
probe,42,enc.self.L1.head11,head,encoder,self,1,-0.39399672,0.38827094137046664,-0.35621408,0.3940117529509391,-0.22157054,0.42454571626953885,0.10874872,0.5437701396348014,-0.010017874,0.4120879120879122,0.6514822435604328,0.086512824405403,122,27,True
probe,42,enc.self.L2.head0,head,encoder,self,2,0.07730517,0.5261935096432991,0.040927295,0.5206015343189554,-0.060672343,0.4923622753983979,-0.04928691,0.4855889724310777,-0.82758963,0.272700983227299,0.7810737692424935,0.0318048203064656,122,27,True
