direction,seed,kind,n_pool,top_k,top_mean_abs_d,random_mean_abs_d,random_p95_abs_d,top_above_random_p95
probe,42,head,312,25,1.0947165489196777,0.31173625588417053,0.9331515848636625,16
probe,42,neuron,10240,25,0.8916362524032593,0.143720343708992,0.40599851608276355,25
probe,1337,head,312,25,1.0649323463439941,0.28893914818763733,0.8471864074468609,20
probe,1337,neuron,10240,25,0.8948419094085693,0.12598223984241486,0.31189917176961873,25
probe,2024,head,312,25,1.080765962600708,0.29068994522094727,0.9524037659168243,14
probe,2024,neuron,10240,25,0.8869783282279968,0.13216868042945862,0.3802546322345732,25
mean_diff,42,head,312,25,1.1410452127456665,0.3962351977825165,1.0744091093540187,15
mean_diff,42,neuron,10240,25,0.9928556680679321,0.1654486507177353,0.44155692607164365,25
mean_diff,1337,head,312,25,1.0962233543395996,0.3830126225948334,0.9835396170616145,18
mean_diff,1337,neuron,10240,25,0.9989853501319885,0.15451249480247498,0.4127608299255371,25
mean_diff,2024,head,312,25,1.1097512245178223,0.3784042298793793,1.044133651256561,15
mean_diff,2024,neuron,10240,25,0.9602470397949219,0.15198947489261627,0.4086127236485475,25
