component,kind,side,sublayer,layer,train_d,dev_d_tox_ref,dev_d_tox_gen,dev_d_copy,dev_d_template,lang_auc,len_corr,n_seeds,direction,contrast,rank
dec.cross.L5.head7,head,decoder,cross,5,-1.5910724,-1.5717143,-0.86523277,0.22842042,-1.8642993,0.702103337905807,-0.06037385164593443,3,probe,toxic_vs_reference,1
dec.self.L6.head5,head,decoder,self,6,-1.4863881,-1.5449492,-0.78349537,0.050590605,-0.54252714,0.6986803332825281,-0.31219229413698235,3,probe,toxic_vs_reference,2
dec.self.L6.head0,head,decoder,self,6,-1.41259,-1.5234632,-0.7946152,0.2590236,-0.63674146,0.6714741147182849,-0.2094335272225707,3,probe,toxic_vs_reference,3
dec.cross.L2.head1,head,decoder,cross,2,-1.4489311,-1.4808716,-0.853483,0.16298324,-1.8419542,0.6734364680180868,-0.006303937210107548,3,probe,toxic_vs_reference,4
dec.cross.L3.head3,head,decoder,cross,3,-1.3901783,-1.4300929,-0.7137394,-0.15601104,-0.2091748,0.7930511100950058,-0.15365415694228327,3,probe,toxic_vs_reference,5
dec.cross.L0.head9,head,decoder,cross,0,-1.3478031,-1.3862691,-0.77257603,0.10843589,-1.5167427,0.6847533404460702,-0.09921296222861364,3,probe,toxic_vs_reference,6
dec.self.L4.head2,head,decoder,self,4,-1.3107586,-1.34754,-0.7411292,0.06441416,-0.11910909,0.7400104150790021,-0.1142234502903584,3,probe,toxic_vs_reference,7
dec.cross.L6.head9,head,decoder,cross,6,-1.314545,-1.2809439,-0.65568894,-0.18150832,-0.7618582,0.6993979576284103,0.03895793995266226,3,probe,toxic_vs_reference,8
dec.cross.L6.head3,head,decoder,cross,6,-1.0932392,-1.1888336,-0.51239014,-0.60180867,0.76942474,0.8497942386831276,-0.23649550269954578,3,probe,toxic_vs_reference,9
dec.cross.L4.head4,head,decoder,cross,4,-1.0258541,-1.1349076,-0.4567908,-0.40948772,0.5123817,0.9046512218665853,-0.14753502350286882,3,probe,toxic_vs_reference,10
dec.self.L4.head0,head,decoder,self,4,-1.0114628,-1.1336432,-0.59352314,-0.105271004,0.9803221,0.8573705735914241,-0.45412232850277406,3,probe,toxic_vs_reference,11
dec.cross.L5.head4,head,decoder,cross,5,-1.162506,-1.1085218,-0.6244795,0.14575179,-0.5418621,0.7377495808565767,-0.09359022728104278,3,probe,toxic_vs_reference,12
dec.self.L6.head6,head,decoder,self,6,1.0417324,1.0746332,0.51461005,0.24302661,-0.479807,0.8685731341767008,0.10201341593295861,3,probe,toxic_vs_reference,13
dec.self.L4.head5,head,decoder,self,4,-0.90016025,-0.9154901,-0.3747201,0.2805579,0.34213507,0.7805339633185998,-0.15882728327906662,3,probe,toxic_vs_reference,14
dec.self.L3.head9,head,decoder,self,3,-0.8556099,-0.90542084,-0.63293236,0.12508018,0.21840435,0.820092211553117,-0.21956734003104747,3,probe,toxic_vs_reference,15
