model,language,sta,sim,fl,j
mt0_seed_1337,am,1.0,0.9399,0.5144,0.8181
mt0_seed_1337,ar,1.0,0.9389,0.7842,0.9077
mt0_seed_1337,de,1.0,0.9614,0.8395,0.9336
mt0_seed_1337,en,1.0,0.8945,0.6788,0.8578
mt0_seed_1337,es,1.0,0.922,0.5709,0.831
mt0_seed_1337,hi,1.0,0.8807,0.6686,0.8498
mt0_seed_1337,uk,1.0,0.9453,0.8269,0.9241
mt0_seed_1337,xh,1.0,0.5422,0.3114,0.6179
mt0_seed_1337,yo,1.0,0.5704,0.3087,0.6264
mt0_seed_2024,am,1.0,0.9453,0.473,0.8061
mt0_seed_2024,ar,1.0,0.9423,0.797,0.9131
mt0_seed_2024,de,1.0,0.9638,0.8281,0.9306
mt0_seed_2024,en,1.0,0.8676,0.6791,0.8489
mt0_seed_2024,es,1.0,0.909,0.6522,0.8537
mt0_seed_2024,hi,1.0,0.8811,0.7289,0.87
mt0_seed_2024,uk,1.0,0.9321,0.7533,0.8951
mt0_seed_2024,xh,1.0,0.6456,0.3637,0.6698
mt0_seed_2024,yo,1.0,0.5888,0.3731,0.654
mt0_seed_42,am,1.0,0.9199,0.4166,0.7788
mt0_seed_42,ar,1.0,0.9498,0.7848,0.9116
mt0_seed_42,de,1.0,0.9566,0.8083,0.9216
mt0_seed_42,en,1.0,0.892,0.7374,0.8764
mt0_seed_42,es,1.0,0.918,0.6362,0.8514
mt0_seed_42,hi,1.0,0.9035,0.6589,0.8541
mt0_seed_42,uk,1.0,0.9337,0.7756,0.9031
mt0_seed_42,xh,1.0,0.7299,0.3972,0.709
mt0_seed_42,yo,1.0,0.5698,0.3732,0.6477
