model,language,sta,sim,fl,j
duplicate,am,1.0,1.0,0.4218,0.8073
duplicate,ar,1.0,1.0,0.7707,0.9236
duplicate,de,1.0,1.0,0.8128,0.9376
duplicate,en,1.0,1.0,0.7125,0.9042
duplicate,es,1.0,1.0,0.6425,0.8808
duplicate,hi,1.0,1.0,0.6543,0.8848
duplicate,uk,1.0,1.0,0.7606,0.9202
duplicate,xh,1.0,1.0,0.411,0.8037
duplicate,yo,1.0,1.0,0.3337,0.7779
mt5_v2_seed_1337,am,1.0,0.9457,0.5166,0.8208
mt5_v2_seed_1337,ar,1.0,0.9515,0.7885,0.9133
mt5_v2_seed_1337,de,1.0,0.9692,0.8483,0.9392
mt5_v2_seed_1337,en,1.0,0.9055,0.6965,0.8673
mt5_v2_seed_1337,es,1.0,0.9063,0.5601,0.8222
mt5_v2_seed_1337,hi,1.0,0.8855,0.6589,0.8481
mt5_v2_seed_1337,uk,1.0,0.9391,0.8265,0.9219
mt5_v2_seed_1337,xh,1.0,0.6114,0.3284,0.6466
mt5_v2_seed_1337,yo,1.0,0.569,0.3076,0.6255
mt5_v2_seed_2024,am,1.0,0.9519,0.4754,0.8091
mt5_v2_seed_2024,ar,1.0,0.9539,0.8167,0.9235
mt5_v2_seed_2024,de,1.0,0.9741,0.8399,0.938
mt5_v2_seed_2024,en,1.0,0.8759,0.6555,0.8438
mt5_v2_seed_2024,es,1.0,0.8975,0.6478,0.8484
mt5_v2_seed_2024,hi,1.0,0.8679,0.7177,0.8619
mt5_v2_seed_2024,uk,1.0,0.9315,0.7509,0.8941
mt5_v2_seed_2024,xh,1.0,0.7263,0.3771,0.7011
mt5_v2_seed_2024,yo,1.0,0.6529,0.4005,0.6844
mt5_v2_seed_42,am,1.0,0.9168,0.4107,0.7758
mt5_v2_seed_42,ar,1.0,0.9528,0.7704,0.9077
mt5_v2_seed_42,de,1.0,0.9572,0.8208,0.926
mt5_v2_seed_42,en,1.0,0.8961,0.7409,0.879
mt5_v2_seed_42,es,1.0,0.9126,0.6336,0.8487
mt5_v2_seed_42,hi,1.0,0.921,0.6655,0.8621
mt5_v2_seed_42,uk,1.0,0.9361,0.7702,0.9021
mt5_v2_seed_42,xh,1.0,0.7174,0.3823,0.6999
mt5_v2_seed_42,yo,1.0,0.5841,0.3613,0.6484
