seed,split,language,n,n_unique_outputs,unique_output_rate,n_unique_prefixes,prefix_diversity,top_output_count,top_output_share,top_prefix_share,empty_rate,sentinel_rate,copy_input_rate,copy_input_rate_loose,matches_train_output_rate,matches_train_output_fuzzy_rate,template_rate,repetition_rate
42,dev,am,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.48148148148148145,0.48148148148148145,0.0,0.0,0.0,0.0
42,dev,ar,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.6296296296296297,0.6296296296296297,0.0,0.0,0.0,0.0
42,dev,de,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.5555555555555556,0.5925925925925926,0.0,0.0,0.0,0.0
42,dev,en,27,27,1.0,25,0.9259259259259259,1,0.037037037037037035,0.07407407407407407,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
42,dev,es,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
42,dev,hi,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.4074074074074074,0.4074074074074074,0.0,0.0,0.0,0.0
42,dev,uk,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.3333333333333333,0.4074074074074074,0.0,0.0,0.0,0.0
42,dev,xh,27,15,0.5555555555555556,7,0.25925925925925924,7,0.25925925925925924,0.6666666666666666,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.4444444444444444
42,dev,yo,27,18,0.6666666666666666,15,0.5555555555555556,8,0.2962962962962963,0.4074074074074074,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.037037037037037035,0.0,0.33333333333333337
42,test,am,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.38461538461538464,0.38461538461538464,0.0,0.0,0.0,0.0
42,test,ar,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.5769230769230769,0.5769230769230769,0.0,0.0,0.0,0.0
42,test,de,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
42,test,en,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0
42,test,es,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.0
42,test,hi,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.38461538461538464,0.38461538461538464,0.0,0.0,0.0,0.0
42,test,uk,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.3076923076923077,0.34615384615384615,0.0,0.0,0.0,0.0
42,test,xh,26,12,0.46153846153846156,6,0.23076923076923078,13,0.5,0.8076923076923077,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.5384615384615384
42,test,yo,26,17,0.6538461538461539,12,0.46153846153846156,9,0.34615384615384615,0.5,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.34615384615384615
1337,dev,am,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.4074074074074074,0.4074074074074074,0.0,0.0,0.0,0.0
1337,dev,ar,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0
1337,dev,de,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.5925925925925926,0.5925925925925926,0.0,0.0,0.0,0.0
1337,dev,en,27,27,1.0,25,0.9259259259259259,1,0.037037037037037035,0.07407407407407407,0.0,0.0,0.1111111111111111,0.14814814814814814,0.0,0.0,0.0,0.0
1337,dev,es,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.25925925925925924,0.2962962962962963,0.0,0.0,0.0,0.0
