feature,type,toxic_mean,detox_mean,diff
2032,DETOX-SELECTIVE,0.17683392763137817,0.13417677581310272,-0.04265715181827545
1383,DETOX-SELECTIVE,0.43590831756591797,0.5297200083732605,0.09381169080734253
2292,DETOX-SELECTIVE,0.12952789664268494,0.21926744282245636,0.08973954617977142
1392,DETOX-SELECTIVE,0.20885315537452698,0.18592743575572968,-0.022925719618797302
1737,DETOX-SELECTIVE,0.6664744019508362,0.5167239904403687,-0.14975041151046753
1927,TOXIC-SELECTIVE,0.3098214864730835,0.1766553819179535,0.13316610455513
1595,TOXIC-SELECTIVE,0.15065407752990723,0.10486609488725662,0.045787982642650604
1144,TOXIC-SELECTIVE,0.26175618171691895,0.2818566560745239,-0.02010047435760498
839,TOXIC-SELECTIVE,0.25014883279800415,0.08230660110712051,0.16784223169088364
1506,TOXIC-SELECTIVE,0.1697312295436859,0.13954970240592957,0.030181527137756348
