seed,side,layer,pooling,probe,scope,status,n_train,n_dev,n_dims_used,C,train_accuracy,dev_accuracy,dev_auc,control_dev_accuracy,control_dev_auc,gain_over_control,accuracy_by_behaviour,note
42,encoder,4,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.7691256830601093,0.7366255144032922,0.8027231621195956,0.5534979423868313,0.5690274179071618,0.1831275720164609,"{""copy_input"": 0.7202380952380952, ""generic_template"": 0.75, ""ordinary_rewrite"": 0.7443609022556391}",
42,encoder,4,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
42,encoder,4,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
42,encoder,4,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.8205828779599271,0.742798353909465,0.8129350200680792,0.5534979423868313,0.5690274179071618,0.18930041152263377,"{""copy_input"": 0.6964285714285714, ""generic_template"": 0.8076923076923077, ""ordinary_rewrite"": 0.7593984962406015}",
42,encoder,4,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
42,encoder,4,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,0.9990892531876139,1.0,,0.42386831275720166,,0.5761316872427984,,
42,encoder,6,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.8383424408014571,0.7592592592592593,0.8355772324679503,0.5534979423868313,0.5690274179071618,0.20576131687242805,"{""copy_input"": 0.7559523809523809, ""generic_template"": 0.7115384615384616, ""ordinary_rewrite"": 0.7706766917293233}",
42,encoder,6,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
42,encoder,6,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
42,encoder,6,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.831511839708561,0.757201646090535,0.8327321377161341,0.5534979423868313,0.5690274179071618,0.20370370370370372,"{""copy_input"": 0.7321428571428571, ""generic_template"": 0.7692307692307693, ""ordinary_rewrite"": 0.7706766917293233}",
42,encoder,6,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
42,encoder,6,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,0.9990892531876139,1.0,,0.42386831275720166,,0.5761316872427984,,
