seed,side,layer,contrast,language,split,standardized_cosine_mean,standardized_cosine_std,evidence_type
42,encoder,4,toxic_vs_detox_reference,am,dev,0.5388814210891724,0.3964194357395172,associative (correlational; no causal claim)
42,encoder,4,toxic_vs_detox_reference,ar,dev,0.7260264158248901,0.2968084216117859,associative (correlational; no causal claim)
42,encoder,4,toxic_vs_detox_reference,de,dev,0.7806617617607117,0.3885989189147949,associative (correlational; no causal claim)
42,encoder,4,toxic_vs_detox_reference,en,dev,0.41008877754211426,0.6033567786216736,associative (correlational; no causal claim)
42,encoder,4,toxic_vs_detox_reference,es,dev,0.6459094285964966,0.4201206862926483,associative (correlational; no causal claim)
42,encoder,4,toxic_vs_detox_reference,hi,dev,0.7476338744163513,0.34596914052963257,associative (correlational; no causal claim)
42,encoder,4,toxic_vs_detox_reference,uk,dev,0.7444945573806763,0.26992422342300415,associative (correlational; no causal claim)
42,encoder,4,toxic_vs_detox_reference,xh,dev,0.3410275876522064,0.5405745506286621,associative (correlational; no causal claim)
42,encoder,4,toxic_vs_detox_reference,yo,dev,0.7318337559700012,0.3519912362098694,associative (correlational; no causal claim)
42,encoder,6,toxic_vs_detox_reference,am,dev,0.5807247161865234,0.34953027963638306,associative (correlational; no causal claim)
42,encoder,6,toxic_vs_detox_reference,ar,dev,0.7458816170692444,0.2599739134311676,associative (correlational; no causal claim)
42,encoder,6,toxic_vs_detox_reference,de,dev,0.7990531921386719,0.35830751061439514,associative (correlational; no causal claim)
42,encoder,6,toxic_vs_detox_reference,en,dev,0.44589102268218994,0.5520928502082825,associative (correlational; no causal claim)
42,encoder,6,toxic_vs_detox_reference,es,dev,0.6676803231239319,0.3916962742805481,associative (correlational; no causal claim)
42,encoder,6,toxic_vs_detox_reference,hi,dev,0.751103937625885,0.3183782398700714,associative (correlational; no causal claim)
42,encoder,6,toxic_vs_detox_reference,uk,dev,0.7645652890205383,0.23678278923034668,associative (correlational; no causal claim)
42,encoder,6,toxic_vs_detox_reference,xh,dev,0.3951151371002197,0.4754425585269928,associative (correlational; no causal claim)
42,encoder,6,toxic_vs_detox_reference,yo,dev,0.7350018620491028,0.3168709874153137,associative (correlational; no causal claim)
42,encoder,8,toxic_vs_detox_reference,am,dev,0.6386435627937317,0.2836530804634094,associative (correlational; no causal claim)
42,encoder,8,toxic_vs_detox_reference,ar,dev,0.7807595729827881,0.2154126763343811,associative (correlational; no causal claim)
42,encoder,8,toxic_vs_detox_reference,de,dev,0.8268017768859863,0.3220744729042053,associative (correlational; no causal claim)
42,encoder,8,toxic_vs_detox_reference,en,dev,0.516132652759552,0.4831462502479553,associative (correlational; no causal claim)
42,encoder,8,toxic_vs_detox_reference,es,dev,0.7084736824035645,0.3386487066745758,associative (correlational; no causal claim)
42,encoder,8,toxic_vs_detox_reference,hi,dev,0.776670515537262,0.26322513818740845,associative (correlational; no causal claim)
42,encoder,8,toxic_vs_detox_reference,uk,dev,0.7958395481109619,0.19988279044628143,associative (correlational; no causal claim)
42,encoder,8,toxic_vs_detox_reference,xh,dev,0.6053889989852905,0.3157680630683899,associative (correlational; no causal claim)
42,encoder,8,toxic_vs_detox_reference,yo,dev,0.7460112571716309,0.2667071223258972,associative (correlational; no causal claim)
42,decoder,4,toxic_vs_detox_reference,am,dev,0.661335825920105,0.17297907173633575,associative (correlational; no causal claim)
42,decoder,4,toxic_vs_detox_reference,ar,dev,0.8362693786621094,0.1656734198331833,associative (correlational; no causal claim)
42,decoder,4,toxic_vs_detox_reference,de,dev,0.8692744970321655,0.13703636825084686,associative (correlational; no causal claim)
42,decoder,4,toxic_vs_detox_reference,en,dev,0.7799354195594788,0.17999444901943207,associative (correlational; no causal claim)
42,decoder,4,toxic_vs_detox_reference,es,dev,0.7794404625892639,0.12492578476667404,associative (correlational; no causal claim)
