seed,side,layer,pooling,n_dims,n_constant_dims_excluded,mean_of_dim_means,max_abs_dim_mean,mean_of_dim_stds,min_dim_std,max_dim_std,all_finite
42,encoder,4,pooled_mean_all,768,0,6.233698002233723e-09,6.496797482213879e-07,0.9995447993278503,0.9995443820953369,0.9995524287223816,True
42,encoder,4,pooled_mean_content,768,0,-1.277957045742184e-10,3.52633662714652e-07,0.9995447993278503,0.9995443820953369,0.9995525479316711,True
42,encoder,6,pooled_mean_all,768,0,-5.100497801890924e-10,6.201488531587529e-07,0.9995449185371399,0.9995443820953369,0.9995547533035278,True
42,encoder,6,pooled_mean_content,768,0,-9.185999183536353e-10,2.966118302083487e-07,0.9995449185371399,0.9995443820953369,0.9995545148849487,True
42,encoder,8,pooled_mean_all,768,0,4.359743233095514e-09,6.045148666089517e-07,0.9995450973510742,0.9995443820953369,0.9995532035827637,True
42,encoder,8,pooled_mean_content,768,0,-4.3625711376726883e-10,4.5512325641539064e-07,0.9995450973510742,0.9995444416999817,0.999552309513092,True
42,decoder,4,pooled_mean_all,768,0,-1.5629484373391733e-09,4.7249437784557813e-07,0.9995520114898682,0.9995444416999817,0.9996393322944641,True
42,decoder,4,pooled_mean_content,768,0,4.5463468545392516e-09,2.035894794971682e-06,0.9995522499084473,0.9995444416999817,0.9996413588523865,True
42,decoder,6,pooled_mean_all,768,0,3.338511467276817e-09,3.4742234333862143e-07,0.9995554089546204,0.9995443820953369,0.9996490478515625,True
42,decoder,6,pooled_mean_content,768,0,-3.6031497785415922e-09,2.3624718323844718e-06,0.9995556473731995,0.9995444416999817,0.9996466040611267,True
42,decoder,8,pooled_mean_all,768,0,-1.780087188762991e-09,5.489272894010355e-07,0.9995484948158264,0.9995443820953369,0.9996033906936646,True
42,decoder,8,pooled_mean_content,768,0,-9.958422531042288e-09,1.5634004739695229e-06,0.9995486736297607,0.9995443820953369,0.999603271484375,True
1337,encoder,4,pooled_mean_all,768,0,6.830264798196595e-09,6.427313223866804e-07,0.9995447993278503,0.9995443820953369,0.9995520710945129,True
1337,encoder,4,pooled_mean_content,768,0,-4.760093208489025e-09,3.283141154497571e-07,0.9995447993278503,0.9995444416999817,0.9995527267456055,True
1337,encoder,6,pooled_mean_all,768,0,6.21729867589238e-09,7.990713584149489e-07,0.9995449185371399,0.9995443820953369,0.9995538592338562,True
1337,encoder,6,pooled_mean_content,768,0,2.3183824651717977e-11,3.0486310720334586e-07,0.9995449185371399,0.9995443820953369,0.9995540976524353,True
1337,encoder,8,pooled_mean_all,768,0,-1.136586269545603e-09,7.122158081074303e-07,0.9995450973510742,0.9995443820953369,0.9995519518852234,True
1337,encoder,8,pooled_mean_content,768,0,-3.5562157663093785e-09,4.7206009412548156e-07,0.9995450973510742,0.9995443820953369,0.9995530843734741,True
1337,decoder,4,pooled_mean_all,768,0,1.722975428997131e-09,9.067722999134276e-07,0.9995520710945129,0.9995444416999817,0.9996321797370911,True
1337,decoder,4,pooled_mean_content,768,0,-6.567322241579632e-09,1.8204930256615626e-06,0.9995522499084473,0.9995444416999817,0.9996320605278015,True
1337,decoder,6,pooled_mean_all,768,0,-2.5728705832506193e-09,7.017931125119503e-07,0.9995548129081726,0.9995444416999817,0.9996454119682312,True
1337,decoder,6,pooled_mean_content,768,0,-9.215965768305523e-09,1.618988108020858e-06,0.9995551109313965,0.9995444416999817,0.9996435046195984,True
1337,decoder,8,pooled_mean_all,768,0,4.25173896090314e-09,9.380403298564488e-07,0.9995481967926025,0.9995443820953369,0.9995918273925781,True
1337,decoder,8,pooled_mean_content,768,0,8.96489904533837e-09,1.584245865160483e-06,0.9995482563972473,0.9995443820953369,0.9995903372764587,True
2024,encoder,4,pooled_mean_all,768,0,-9.906958586824999e-10,6.861591259621491e-07,0.9995446801185608,0.9995443820953369,0.9995538592338562,True
2024,encoder,4,pooled_mean_content,768,0,9.084215601973256e-10,2.9878322038712213e-07,0.9995449185371399,0.9995444416999817,0.999553918838501,True
2024,encoder,6,pooled_mean_all,768,0,-4.296693223437842e-09,8.164424798451364e-07,0.9995448589324951,0.9995443820953369,0.9995566010475159,True
2024,encoder,6,pooled_mean_content,768,0,6.386933759650049e-10,3.9953567920747446e-07,0.9995449185371399,0.9995443820953369,0.9995567798614502,True
2024,encoder,8,pooled_mean_all,768,0,6.365168392363785e-09,6.878962039991166e-07,0.9995450377464294,0.9995444416999817,0.9995536208152771,True
2024,encoder,8,pooled_mean_content,768,0,-5.60405188920754e-09,4.2211814843540196e-07,0.9995450973510742,0.9995443820953369,0.9995542168617249,True
2024,decoder,4,pooled_mean_all,768,0,-1.7947890951219847e-09,2.8488631187428837e-07,0.99955153465271,0.9995443820953369,0.9996316432952881,True
2024,decoder,4,pooled_mean_content,768,0,1.3397021270122877e-08,2.1470700630743522e-06,0.9995517730712891,0.9995444416999817,0.9996317028999329,True
2024,decoder,6,pooled_mean_all,768,0,-3.18922915854003e-10,6.288344138738466e-07,0.9995545744895935,0.9995443820953369,0.9996444582939148,True
2024,decoder,6,pooled_mean_content,768,0,-4.156175403835505e-09,1.8204930256615626e-06,0.9995548129081726,0.9995444416999817,0.9996424913406372,True
2024,decoder,8,pooled_mean_all,768,0,-1.6794328427938154e-10,6.705251394123479e-07,0.9995481371879578,0.9995443820953369,0.9995847940444946,True
2024,decoder,8,pooled_mean_content,768,0,2.3687369843372608e-09,1.2646172535824007e-06,0.9995482563972473,0.9995444416999817,0.999583899974823,True
