seed,side,layer,contrast,source,target,transfer_type,n_train,n_dev,dev_accuracy,dev_auc,fit_split
42,encoder,4,toxic_vs_detox_reference,am,am,within_language,244,54,0.8148148148148148,0.8834019204389575,
42,encoder,4,toxic_vs_detox_reference,ar,ar,within_language,244,54,0.7037037037037037,0.7338820301783265,
42,encoder,4,toxic_vs_detox_reference,de,de,within_language,244,54,0.8148148148148148,0.8148148148148149,
42,encoder,4,toxic_vs_detox_reference,en,en,within_language,244,54,0.8888888888888888,0.934156378600823,
42,encoder,4,toxic_vs_detox_reference,es,es,within_language,244,54,0.7222222222222222,0.840877914951989,
42,encoder,4,toxic_vs_detox_reference,hi,hi,within_language,244,54,0.8888888888888888,0.9355281207133058,
42,encoder,4,toxic_vs_detox_reference,uk,uk,within_language,244,54,0.7407407407407407,0.7722908093278463,
42,encoder,4,toxic_vs_detox_reference,xh,xh,within_language,244,54,0.7777777777777778,0.8340192043895748,
42,encoder,4,toxic_vs_detox_reference,yo,yo,within_language,244,54,0.8703703703703703,0.9629629629629629,
42,encoder,4,toxic_vs_detox_reference,EN_DE_ES,yo,cross_language,732,54,0.5,0.299039780521262,
42,encoder,4,toxic_vs_detox_reference,EN_DE_ES,xh,cross_language,732,54,0.5,0.8120713305898491,
42,encoder,4,toxic_vs_detox_reference,all_non_african,yo,cross_language,1708,54,0.48148148148148145,0.35802469135802467,
42,encoder,4,toxic_vs_detox_reference,all_non_african,xh,cross_language,1708,54,0.5185185185185185,0.7379972565157751,
42,encoder,4,toxic_vs_detox_reference,YO_XH,am,cross_language,488,54,0.5740740740740741,0.5349794238683128,
42,encoder,4,toxic_vs_detox_reference,YO_XH,ar,cross_language,488,54,0.48148148148148145,0.47050754458161864,
42,encoder,4,toxic_vs_detox_reference,YO_XH,de,cross_language,488,54,0.5185185185185185,0.48148148148148145,
42,encoder,4,toxic_vs_detox_reference,YO_XH,en,cross_language,488,54,0.7407407407407407,0.7475994513031549,
42,encoder,4,toxic_vs_detox_reference,YO_XH,es,cross_language,488,54,0.5370370370370371,0.5596707818930041,
42,encoder,4,toxic_vs_detox_reference,YO_XH,hi,cross_language,488,54,0.6666666666666666,0.6982167352537723,
42,encoder,4,toxic_vs_detox_reference,YO_XH,uk,cross_language,488,54,0.5925925925925926,0.5706447187928669,
42,encoder,6,toxic_vs_detox_reference,am,am,within_language,244,54,0.8518518518518519,0.9108367626886145,
42,encoder,6,toxic_vs_detox_reference,ar,ar,within_language,244,54,0.7407407407407407,0.7928669410150891,
42,encoder,6,toxic_vs_detox_reference,de,de,within_language,244,54,0.7037037037037037,0.8203017832647461,
42,encoder,6,toxic_vs_detox_reference,en,en,within_language,244,54,0.8888888888888888,0.9492455418381345,
42,encoder,6,toxic_vs_detox_reference,es,es,within_language,244,54,0.7407407407407407,0.850480109739369,
42,encoder,6,toxic_vs_detox_reference,hi,hi,within_language,244,54,0.8888888888888888,0.9478737997256516,
42,encoder,6,toxic_vs_detox_reference,uk,uk,within_language,244,54,0.7777777777777778,0.8010973936899862,
42,encoder,6,toxic_vs_detox_reference,xh,xh,within_language,244,54,0.7962962962962963,0.8367626886145404,
42,encoder,6,toxic_vs_detox_reference,yo,yo,within_language,244,54,0.9074074074074074,0.9602194787379972,
42,encoder,6,toxic_vs_detox_reference,EN_DE_ES,yo,cross_language,732,54,0.5,0.3813443072702332,
42,encoder,6,toxic_vs_detox_reference,EN_DE_ES,xh,cross_language,732,54,0.5,0.7640603566529492,
42,encoder,6,toxic_vs_detox_reference,all_non_african,yo,cross_language,1708,54,0.5555555555555556,0.49794238683127573,
42,encoder,6,toxic_vs_detox_reference,all_non_african,xh,cross_language,1708,54,0.5,0.7517146776406036,
42,encoder,6,toxic_vs_detox_reference,YO_XH,am,cross_language,488,54,0.5370370370370371,0.5569272976680384,
42,encoder,6,toxic_vs_detox_reference,YO_XH,ar,cross_language,488,54,0.5370370370370371,0.47873799725651567,
42,encoder,6,toxic_vs_detox_reference,YO_XH,de,cross_language,488,54,0.5,0.47599451303155005,
