side,layer,token_set,seed_pair,mean_max_cosine,median_max_cosine,frac_features_matched_above_0.7
encoder,4,all,seed42_vs_seed1337,0.23712097108364105,0.2027818262577057,0.0026041667442768812
encoder,4,all,seed42_vs_seed2024,0.2321872115135193,0.19996504485607147,0.0022786457557231188
encoder,4,all,seed1337_vs_seed2024,0.2299048751592636,0.19856329262256622,0.0009765625
encoder,4,content,seed42_vs_seed1337,0.24298985302448273,0.21347081661224365,0.0026041667442768812
encoder,4,content,seed42_vs_seed2024,0.23581723868846893,0.2110843062400818,0.0022786457557231188
encoder,4,content,seed1337_vs_seed2024,0.24009253084659576,0.21441179513931274,0.0022786457557231188
encoder,6,all,seed42_vs_seed1337,0.2706020474433899,0.24933353066444397,0.0065104165114462376
encoder,6,all,seed42_vs_seed2024,0.26652058959007263,0.2413722574710846,0.00390625
encoder,6,all,seed1337_vs_seed2024,0.2621104419231415,0.23802466690540314,0.00390625
encoder,6,content,seed42_vs_seed1337,0.2747034430503845,0.25953209400177,0.0045572915114462376
encoder,6,content,seed42_vs_seed2024,0.2728642523288727,0.2543615996837616,0.0032552082557231188
encoder,6,content,seed1337_vs_seed2024,0.2679145038127899,0.2500568628311157,0.0029296875
encoder,8,all,seed42_vs_seed1337,0.29221802949905396,0.27169492840766907,0.0055338540114462376
encoder,8,all,seed42_vs_seed2024,0.28826871514320374,0.2672485411167145,0.0061848959885537624
encoder,8,all,seed1337_vs_seed2024,0.2876984775066376,0.2677304148674011,0.0065104165114462376
encoder,8,content,seed42_vs_seed1337,0.29531559348106384,0.27751782536506653,0.008138020522892475
encoder,8,content,seed42_vs_seed2024,0.29125526547431946,0.2756895124912262,0.0045572915114462376
encoder,8,content,seed1337_vs_seed2024,0.28881850838661194,0.272480845451355,0.008138020522892475
decoder,4,all,seed42_vs_seed1337,0.27010026574134827,0.23915863037109375,0.008138020522892475
decoder,4,all,seed42_vs_seed2024,0.26788341999053955,0.2375411093235016,0.005859375
decoder,4,all,seed1337_vs_seed2024,0.26591286063194275,0.2360134720802307,0.0071614584885537624
decoder,4,content,seed42_vs_seed1337,0.26557591557502747,0.23547622561454773,0.0071614584885537624
decoder,4,content,seed42_vs_seed2024,0.2624718248844147,0.2339547574520111,0.0048828125
decoder,4,content,seed1337_vs_seed2024,0.2637087404727936,0.2346372902393341,0.0071614584885537624
decoder,6,all,seed42_vs_seed1337,0.2945684492588043,0.2638048529624939,0.011067708022892475
decoder,6,all,seed42_vs_seed2024,0.2934984266757965,0.2635481059551239,0.012369791977107525
decoder,6,all,seed1337_vs_seed2024,0.2923447787761688,0.2628864049911499,0.011393229477107525
decoder,6,content,seed42_vs_seed1337,0.2918079197406769,0.2606176435947418,0.012369791977107525
decoder,6,content,seed42_vs_seed2024,0.28996554017066956,0.2602078914642334,0.010416666977107525
decoder,6,content,seed1337_vs_seed2024,0.2901170551776886,0.25846588611602783,0.011393229477107525
decoder,8,all,seed42_vs_seed1337,0.2980075180530548,0.26773908734321594,0.0126953125
decoder,8,all,seed42_vs_seed2024,0.2977447807788849,0.26740580797195435,0.01171875
decoder,8,all,seed1337_vs_seed2024,0.2963313162326813,0.2683051824569702,0.009765625
decoder,8,content,seed42_vs_seed1337,0.29088762402534485,0.26169294118881226,0.009440104477107525
decoder,8,content,seed42_vs_seed2024,0.28780898451805115,0.25839316844940186,0.0068359375
decoder,8,content,seed1337_vs_seed2024,0.28731247782707214,0.26052185893058777,0.010416666977107525
