seed,side,layer,token_set,language,k,d_sae,expansion,n_train_tokens,tokens_per_latent,sampling,train_recon_mse,train_explained_variance,train_mean_l0,train_dead_feature_rate,train_n_alive_features,train_all_finite,dev_recon_mse,dev_explained_variance,dev_mean_l0,dev_dead_feature_rate,dev_n_alive_features,dev_all_finite
42,encoder,4,all,multilingual_balanced,64,3072,4,36630,11.923828125,language-balanced (equal tokens per language),0.009415026754140854,0.9909903674977777,63.572837829589844,0.4039713740348816,1831,True,0.010795043781399727,0.9891985762716105,63.61760330200195,0.4609375,1656,True
42,encoder,4,content,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.009499410167336464,0.9878565915989762,63.214324951171875,0.3772786557674408,1913,True,0.01153980940580368,0.9849932044532291,63.292789459228516,0.4283854365348816,1756,True
42,encoder,6,all,multilingual_balanced,64,3072,4,36630,11.923828125,language-balanced (equal tokens per language),0.01356277521699667,0.9869862232134915,63.93142318725586,0.298828125,2154,True,0.016821464523673058,0.9831460842441946,63.932952880859375,0.3326823115348816,2050,True
42,encoder,6,content,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.014042054302990437,0.9820448305547886,63.909793853759766,0.2916666865348816,2176,True,0.018393369391560555,0.9761275164450504,63.917415618896484,0.3203125,2088,True
42,encoder,8,all,multilingual_balanced,64,3072,4,36630,11.923828125,language-balanced (equal tokens per language),0.020097753033041954,0.9807782618150624,63.9998664855957,0.1061197966337204,2746,True,0.028879797086119652,0.9711118823285616,63.99977111816406,0.1253255307674408,2687,True
42,encoder,8,content,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.01922806352376938,0.9759668933920559,64.0,0.0738932341337204,2845,True,0.032099928706884384,0.9591434308877537,64.0,0.0859375,2808,True
42,decoder,4,all,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.08699188381433487,0.9145747356568306,63.999534606933594,0.0006510416860692203,3070,True,0.21836943924427032,0.78201067423684,63.99929428100586,0.0006510416860692203,3070,True
42,decoder,4,content,multilingual_balanced,64,3072,4,25650,8.349609375,language-balanced (equal tokens per language),0.08749724179506302,0.9062267146774653,64.0,0.0,3072,True,0.23044440150260925,0.7499421060448024,64.0,0.0,3072,True
42,decoder,6,all,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.0901164636015892,0.911295823295788,63.99993133544922,0.0,3072,True,0.22612743079662323,0.7723823991522976,64.0,0.0,3072,True
42,decoder,6,content,multilingual_balanced,64,3072,4,25650,8.349609375,language-balanced (equal tokens per language),0.09115254878997803,0.9073684594987,64.0,0.0,3072,True,0.23876987397670746,0.7520025339711489,64.0,0.0,3072,True
42,decoder,8,all,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.09097220003604889,0.9114081618525791,64.0,0.0,3072,True,0.2282128781080246,0.7691790853155949,64.0,0.0,3072,True
42,decoder,8,content,multilingual_balanced,64,3072,4,25650,8.349609375,language-balanced (equal tokens per language),0.09157618880271912,0.9097800278213667,64.0,0.0,3072,True,0.2406793236732483,0.7530270126472077,64.0,0.0,3072,True
1337,encoder,4,all,multilingual_balanced,64,3072,4,36630,11.923828125,language-balanced (equal tokens per language),0.009805717505514622,0.9908630628094112,63.67414855957031,0.4117838740348816,1807,True,0.01125334668904543,0.9888547332972318,63.730018615722656,0.4622395932674408,1652,True
1337,encoder,4,content,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.009705324657261372,0.9874704600611538,62.75357437133789,0.4274088740348816,1759,True,0.01156709250062704,0.9846134733371177,62.83113098144531,0.4615885615348816,1654,True
1337,encoder,6,all,multilingual_balanced,64,3072,4,36630,11.923828125,language-balanced (equal tokens per language),0.013625760562717915,0.987144934146748,63.99789810180664,0.2962239682674408,2162,True,0.016751475632190704,0.9832395174116826,63.998416900634766,0.3356119990348816,2041,True
1337,encoder,6,content,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.013255567289888859,0.9830210177587648,64.0,0.2467447966337204,2314,True,0.017864342778921127,0.976478451649865,64.0,0.2802734375,2211,True
1337,encoder,8,all,multilingual_balanced,64,3072,4,36630,11.923828125,language-balanced (equal tokens per language),0.02042192406952381,0.98078365969135,63.99994659423828,0.1516927182674408,2606,True,0.02831796184182167,0.9717175473128237,63.999847412109375,0.1796875,2520,True
1337,encoder,8,content,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.018583668395876884,0.9766400203022697,64.0,0.0973307341337204,2773,True,0.030650904402136803,0.960328934703503,64.0,0.1204427108168602,2702,True
1337,decoder,4,all,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.08720497041940689,0.9148709001996004,63.99752426147461,0.00032552084303461015,3071,True,0.21734005212783813,0.7834441697687625,63.9984130859375,0.00032552084303461015,3071,True
1337,decoder,4,content,multilingual_balanced,64,3072,4,25650,8.349609375,language-balanced (equal tokens per language),0.08887914568185806,0.905782520404014,64.0,0.0,3072,True,0.22966226935386658,0.751979521720804,64.0,0.0,3072,True
1337,decoder,6,all,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.08996681123971939,0.9119025268835456,64.0,0.00032552084303461015,3071,True,0.22446301579475403,0.7745166731283449,64.0,0.00032552084303461015,3071,True
1337,decoder,6,content,multilingual_balanced,64,3072,4,25650,8.349609375,language-balanced (equal tokens per language),0.09193295985460281,0.9072653640618581,64.0,0.0,3072,True,0.23672106862068176,0.7544955537771746,64.0,0.0,3072,True
