seed,side,layer,token_set,language,k,d_sae,expansion,n_train_tokens,tokens_per_latent,sampling,train_recon_mse,train_explained_variance,train_mean_l0,train_dead_feature_rate,train_n_alive_features,train_all_finite,dev_recon_mse,dev_explained_variance,dev_mean_l0,dev_dead_feature_rate,dev_n_alive_features,dev_all_finite,below_min_tokens,status
42,encoder,6,content,am,64,768,1,10283,13.389322916666666,per-language (am),0.009761389344930649,0.9864872187681445,64.0,0.02473958395421505,749,True,0.013752051629126072,0.9811189150810735,64.0,0.0481770858168602,731,True,False,exploratory (underdetermined)
42,encoder,6,content,ar,64,768,1,6170,8.033854166666666,per-language (ar),0.009363372810184956,0.9884370060367361,64.0,0.0260416679084301,748,True,0.019986020401120186,0.9716133780888191,64.0,0.0598958358168602,722,True,False,exploratory (underdetermined)
42,encoder,6,content,de,64,768,1,7342,9.559895833333334,per-language (de),0.010155715048313141,0.9854064087535869,64.0,0.014322916977107525,757,True,0.020183298736810684,0.9714756060899365,63.999996185302734,0.0377604179084301,739,True,False,exploratory (underdetermined)
42,encoder,6,content,en,64,768,1,4350,5.6640625,per-language (en),0.008871914818882942,0.990115044725653,64.0,0.0677083358168602,716,True,0.01845819316804409,0.9799360295295015,64.0,0.1119791716337204,682,True,False,exploratory (underdetermined)
42,encoder,6,content,es,64,768,1,5121,6.66796875,per-language (es),0.009106045588850975,0.9879443430603106,64.0,0.0182291679084301,754,True,0.02008974365890026,0.9730537207872902,64.0,0.0520833358168602,728,True,False,exploratory (underdetermined)
42,encoder,6,content,hi,64,768,1,5652,7.359375,per-language (hi),0.007832998409867287,0.9896572738209622,63.999996185302734,0.010416666977107525,760,True,0.016295691952109337,0.9767453422222916,63.999996185302734,0.0442708358168602,734,True,False,exploratory (underdetermined)
42,encoder,6,content,uk,64,768,1,5237,6.819010416666667,per-language (uk),0.008719518780708313,0.9890462462277132,64.0,0.0260416679084301,748,True,0.01986328884959221,0.9756906361233508,64.0,0.05859375,723,True,False,exploratory (underdetermined)
42,encoder,6,content,xh,64,768,1,3094,4.028645833333333,per-language (xh),0.00538970110937953,0.9914938941321063,63.99871063232422,0.10546875,687,True,0.013629179447889328,0.9803053438976025,63.999996185302734,0.14453125,657,True,False,exploratory (underdetermined)
42,encoder,6,content,yo,64,768,1,4721,6.147135416666667,per-language (yo),0.004726583603769541,0.9949640325072833,64.0,0.1796875,630,True,0.006849873345345259,0.9926560075224387,64.0,0.22265625,597,True,False,exploratory (underdetermined)
42,decoder,6,content,am,64,768,1,10039,13.071614583333334,per-language (am),0.0949711725115776,0.9000524255147413,64.0,0.0,768,True,0.2090628743171692,0.7816354970877807,64.0,0.0,768,True,False,exploratory (underdetermined)
42,decoder,6,content,ar,64,768,1,5926,7.716145833333333,per-language (ar),0.06968100368976593,0.918644617985451,64.0,0.0,768,True,0.3078337013721466,0.6494369584730717,64.0,0.0,768,True,False,exploratory (underdetermined)
42,decoder,6,content,de,64,768,1,7098,9.2421875,per-language (de),0.08775287121534348,0.9036830510642887,64.0,0.0,768,True,0.30910977721214294,0.6578169133585864,64.0,0.0,768,True,False,exploratory (underdetermined)
42,decoder,6,content,en,64,768,1,4106,5.346354166666667,per-language (en),0.05073462426662445,0.9433199953150808,64.0,0.0,768,True,0.2841300964355469,0.6756186346406932,64.0,0.0,768,True,False,exploratory (underdetermined)
42,decoder,6,content,es,64,768,1,4877,6.350260416666667,per-language (es),0.07385369390249252,0.9222226694933363,64.0,0.0,768,True,0.31931746006011963,0.6511429935421787,63.999996185302734,0.0,768,True,False,exploratory (underdetermined)
42,decoder,6,content,hi,64,768,1,5408,7.041666666666667,per-language (hi),0.06391700357198715,0.9352244700495546,64.0,0.0,768,True,0.2709294855594635,0.7235800105786687,64.0,0.0,768,True,False,exploratory (underdetermined)
42,decoder,6,content,uk,64,768,1,4993,6.501302083333333,per-language (uk),0.062169428914785385,0.9299770641872944,64.0,0.0,768,True,0.3408806025981903,0.609380867502864,64.0,0.0,768,True,False,exploratory (underdetermined)
42,decoder,6,content,xh,64,768,1,2850,3.7109375,per-language (xh),0.033902790397405624,0.9697374985719414,64.0,0.0013020833721384406,767,True,0.22016625106334686,0.793946366921251,63.999996185302734,0.0013020833721384406,767,True,False,exploratory (underdetermined)
42,decoder,6,content,yo,64,768,1,4477,5.829427083333333,per-language (yo),0.017054634168744087,0.9778445914170842,64.0,0.0013020833721384406,767,True,0.06388771533966064,0.9165622299623533,64.0,0.0013020833721384406,767,True,False,exploratory (underdetermined)
1337,encoder,6,content,am,64,768,1,10283,13.389322916666666,per-language (am),0.009655238129198551,0.9866337852706543,64.0,0.01171875,759,True,0.013745416887104511,0.9811268881423223,64.0,0.0390625,738,True,False,exploratory (underdetermined)
1337,encoder,6,content,ar,64,768,1,6170,8.033854166666666,per-language (ar),0.009309089742600918,0.9885478851179182,64.0,0.01171875,759,True,0.019990313798189163,0.9717908736696333,64.0,0.0442708358168602,734,True,False,exploratory (underdetermined)
1337,encoder,6,content,de,64,768,1,7342,9.559895833333334,per-language (de),0.00976757612079382,0.9857667242384823,64.0,0.014322916977107525,757,True,0.020017540082335472,0.9713298358908422,63.999996185302734,0.0390625,738,True,False,exploratory (underdetermined)
