side,layer,token_set,seed,feature,train_auc_toxic_vs_reference,dev_auc_toxic_vs_reference,dev_auc_toxic_vs_reference_balanced,dev_auc_toxic_vs_generated,dev_auc_copy_vs_ordinary,dev_auc_template_vs_ordinary,dev_auc_language_max,dev_language_argmax,dev_corr_token_count,dev_corr_sequence_length,cos_with_probe_direction,cos_with_mean_diff_direction,cos_with_language_control,cos_with_length_control,dev_auc_contrast_am,dev_auc_contrast_ar,dev_auc_contrast_de,dev_auc_contrast_en,dev_auc_contrast_es,dev_auc_contrast_hi,dev_auc_contrast_uk,dev_auc_contrast_xh,dev_auc_contrast_yo,replicated,status,n_seeds_matched_at_0.5,n_seeds_matched_at_0.6,n_seeds_matched_at_0.7,n_seeds_matched_at_0.8,passes_contrast,passes_controls,passes_behaviour,passes_replication,detoxification_feature,label
encoder,6,all,42,646,0.3257952030683376,0.3632915036664465,0.3632915036664465,0.42506223644769603,0.47117794486215536,0.174812030075188,0.7629886831275721,hi,0.14224204228406312,0.14224204228406312,-0.05962904147574122,0.3508432633985849,0.09783265292565832,0.07000217353341051,0.27434842249657065,0.48010973936899864,0.20987654320987653,0.2167352537722908,0.23868312757201643,0.28943758573388206,0.35048010973936905,0.5185185185185185,0.5768175582990398,False,seed_specific,1,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,1096,0.3776787402828789,0.3508188114955376,0.3508188114955376,0.41672170570204403,0.5469924812030076,0.46500867553499137,0.5923782578875172,uk,0.15606334011046827,0.15606334011046827,-0.0076807876459037885,0.28341847358417616,0.05500518557970005,0.07377579262304382,0.2880658436213992,0.4609053497942387,0.2030178326474623,0.31207133058984915,0.4595336076817558,0.2085048010973937,0.32990397805212623,0.29766803840877915,0.5082304526748971,False,seed_specific,1,1,1,1,False,True,False,False,False,not promoted
encoder,6,all,42,2397,0.38617323764685585,0.3754593642568037,0.3754593642568037,0.4415231417974902,0.538265306122449,0.0947079236552921,0.8179012345679012,uk,0.12391933427142915,0.12391933427142915,-0.017502633596858976,0.31348045109790673,0.08527252744492364,0.06694007059413036,0.27983539094650206,0.4046639231824417,0.2688614540466392,0.2620027434842249,0.2661179698216735,0.3347050754458162,0.3072702331961591,0.37860082304526743,0.6803840877914953,False,seed_specific,2,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,1052,0.4132045016439892,0.393816999441142,0.393816999441142,0.42911818997781503,0.5230039384174723,0.5621746674378254,0.7500643004115226,yo,0.05998567811955131,0.05998567811955131,-0.026683389324612276,0.1925573259369562,0.049185525675248754,0.07247205878887181,0.3429355281207134,0.4348422496570645,0.3429355281207134,0.36488340192043894,0.392318244170096,0.3484224965706447,0.3827160493827161,0.4657064471879287,0.4197530864197531,False,seed_specific,1,1,1,1,False,True,False,False,False,not promoted
encoder,6,all,42,1020,0.585165195205059,0.5939982048806923,0.5939982048806923,0.5752849328523768,0.524749373433584,0.6925968768074031,0.9089506172839505,xh,-0.2920718226166058,-0.2920718226166058,0.050518126712750536,-0.07574569443526037,0.18951442058171564,0.03040398274768691,0.6872427983539096,0.5185185185185185,0.6659807956104252,0.6131687242798354,0.7681755829903978,0.6598079561042525,0.6268861454046639,0.7119341563786009,0.31138545953360763,False,seed_specific,1,1,1,1,False,False,True,False,False,not promoted
encoder,6,all,42,2271,0.41485180871994454,0.42392758556453114,0.42392758556453114,0.4519974936070044,0.6133190118152525,0.14488143435511858,0.854295267489712,hi,0.5504974255997381,0.5504974255997381,-0.028815319765318724,0.338810492971684,0.08795791124352201,0.18288988866416392,0.22085048010973937,0.4499314128943759,0.36488340192043894,0.2681755829903978,0.34019204389574764,0.2373113854595336,0.32510288065843623,0.4972565157750343,0.6927297668038409,False,seed_specific,1,1,1,1,False,False,True,False,False,not promoted
encoder,6,all,42,1534,0.42345662423150554,0.4083219021490626,0.4083219021490626,0.4444444444444444,0.49024346580737554,0.14979757085020243,0.69718792866941,am,0.16321588688366814,0.16321588688366814,-0.01262329370901899,0.1560792012774665,0.05687269497886184,0.009457611458188079,0.4334705075445816,0.4032921810699589,0.3662551440329218,0.1934156378600823,0.34156378600823045,0.49039780521262,0.33607681755829905,0.4773662551440329,0.4849108367626886,False,seed_specific,1,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,1595,0.4240376607907737,0.4173144337753391,0.4173144337753391,0.5119815746244645,0.6109022556390977,0.2197802197802198,0.677854938271605,de,-0.06027060258477651,-0.06027060258477651,-0.01892409855009189,0.18248816341531818,0.07917384546502046,0.06080054540938204,0.28463648834019206,0.3888888888888889,0.35116598079561046,0.37174211248285316,0.43072702331961593,0.28257887517146774,0.3950617283950617,0.5747599451303155,0.6090534979423867,False,seed_specific,1,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,2754,0.4274488140384405,0.4335213128080069,0.4335213128080069,0.4478399295500347,0.5179914070891515,0.32909196067090807,0.7846364883401922,uk,0.07044300440540435,0.07044300440540435,-0.015657410416139397,0.11701199006080457,0.06962693282829249,-0.03935244336219841,0.5054869684499315,0.4773662551440329,0.4046639231824417,0.42661179698216734,0.3662551440329218,0.4478737997256516,0.26474622770919065,0.49588477366255146,0.46707818930041156,False,seed_specific,2,2,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,1258,0.42900363635157146,0.407153381090281,0.407153381090281,0.4506342190384257,0.47529538131041893,0.16020821283979178,0.7782064471879286,en,-0.06509800267903838,-0.06509800267903838,-0.01883524739751717,0.15485991975435626,0.06894260473064415,-0.01675278918608435,0.45679012345679004,0.34567901234567905,0.3223593964334705,0.27709190672153633,0.2681755829903978,0.6021947873799726,0.2928669410150892,0.5342935528120714,0.5,False,seed_specific,1,1,1,1,False,True,True,False,False,not promoted
