side,layer,token_set,seed,feature,train_auc_toxic_vs_reference,dev_auc_toxic_vs_reference,dev_auc_toxic_vs_reference_balanced,dev_auc_toxic_vs_generated,dev_auc_copy_vs_ordinary,dev_auc_template_vs_ordinary,dev_auc_language_max,dev_language_argmax,dev_corr_token_count,dev_corr_sequence_length,cos_with_probe_direction,cos_with_mean_diff_direction,cos_with_language_control,cos_with_length_control,dev_auc_contrast_am,dev_auc_contrast_ar,dev_auc_contrast_de,dev_auc_contrast_en,dev_auc_contrast_es,dev_auc_contrast_hi,dev_auc_contrast_uk,dev_auc_contrast_xh,dev_auc_contrast_yo,replicated,status,n_seeds_matched_at_0.5,n_seeds_matched_at_0.6,n_seeds_matched_at_0.7,n_seeds_matched_at_0.8,passes_contrast,passes_controls,passes_behaviour,passes_replication,detoxification_feature,label
encoder,6,content,2024,1297,0.5585988434013159,0.5428711747870413,0.5428711747870413,0.5308726650747684,0.5059783159387983,0.2677131022454763,0.7324459876543211,en,-0.039564771205399266,-0.039564771205399266,0.015569870165294078,-0.17890211684729232,0.08587003157208714,-0.014639091767303714,0.5651577503429356,0.503429355281207,0.5967078189300411,0.6748971193415638,0.4691358024691358,0.5253772290809328,0.5445816186556928,0.5233196159122084,0.6419753086419753,True,replicated,3,3,2,1,False,True,True,True,False,not promoted
decoder,6,all,42,2126,0.36635371150062546,0.36181815102711307,0.36181815102711307,0.44633270673508446,0.4241854636591479,0.7862926547137074,0.8672410836762687,yo,-0.1462533297117098,-0.1462533297117098,-0.10621987415634246,0.6113711337786174,0.15175108113010283,0.18879292526197494,0.23799725651577502,0.4657064471879287,0.45747599451303156,0.42386831275720166,0.47599451303155005,0.3731138545953361,0.37585733882030176,0.19753086419753085,0.0438957475994513,True,replicated,3,2,2,1,False,True,True,True,False,not promoted
decoder,6,all,42,1495,0.6289432516813149,0.615319480431506,0.615319480431506,0.5051228640620502,0.4064625850340136,0.7593984962406015,0.8476937585733881,yo,-0.04442744891021586,-0.04442744891021586,0.08138470700536785,-0.30614099909081616,0.04695043445849247,-0.11098981969639851,0.9410150891632373,0.5973936899862826,0.729766803840878,0.4156378600823045,0.5486968449931413,0.6556927297668038,0.5781893004115226,0.5349794238683128,0.9423868312757201,True,replicated,3,3,3,2,False,True,True,True,False,not promoted
decoder,6,all,42,799,0.388699772064459,0.3815305932361259,0.3815305932361259,0.42621382241866923,0.3722699606158253,0.6425679583574321,0.7920096021947873,en,-0.2068714659690688,-0.2068714659690688,-0.04210847231060094,0.006516764261776067,0.06433789947469071,-0.11398153397173069,0.3559670781893004,0.4540466392318244,0.4869684499314129,0.20233196159122085,0.3388203017832647,0.45679012345679015,0.50480109739369,0.11248285322359397,0.24279835390946503,True,replicated,3,3,3,1,False,True,False,True,False,not promoted
decoder,6,all,1337,1412,0.7080517317460792,0.7025013124693053,0.7025013124693053,0.5652762959575945,0.4143356643356643,0.48819930069930073,0.639446159122085,yo,-0.03199576697019616,-0.03199576697019616,0.16476465332081439,-0.37482254582942437,0.057953535638731055,-0.1426903620533911,0.9718792866941015,0.6433470507544581,0.696159122085048,0.5761316872427984,0.598079561042524,0.6625514403292181,0.5871056241426611,0.6694101508916324,1.0,True,replicated,3,3,3,1,True,True,False,True,False,not promoted
decoder,6,all,1337,460,0.6583106890819872,0.6393842402072853,0.6393842402072853,0.5448864502362445,0.41185130658814867,0.43618881118881125,0.6249571330589848,am,-0.11361881901105342,-0.11361881901105342,0.06883631767425134,-0.3194998315826631,0.030081276259478693,-0.15269438400281263,0.8353909465020577,0.7078189300411524,0.6186556927297668,0.5953360768175583,0.5733882030178327,0.6707818930041153,0.6097393689986284,0.47599451303155005,0.747599451303155,True,replicated,3,3,2,1,False,True,False,True,False,not promoted
decoder,6,all,1337,1351,0.3752658418518851,0.3634015817372013,0.3634015817372013,0.4057901065217023,0.45564961354435046,0.4376456876456876,0.7718192729766804,en,-0.17678247969147215,-0.17678247969147215,-0.018535911390277472,-0.014833928479108664,0.05108704114745816,-0.10807868514510276,0.3539094650205761,0.4142661179698217,0.4746227709190672,0.20027434842249658,0.294238683127572,0.4835390946502058,0.5109739368998628,0.08847736625514405,0.3299039780521262,True,replicated,3,3,3,1,False,True,False,True,False,not promoted
decoder,6,all,1337,502,0.40574765843510807,0.3916662432894715,0.3916662432894715,0.47236193669664184,0.4569838056680162,0.32736013986013984,0.7650891632373114,en,-0.0007290551129202651,-0.0007290551129202651,-0.013000561697438809,-0.09057588491808236,0.019060316365463563,-0.05228320478003296,0.22496570644718794,0.46296296296296297,0.47187928669410145,0.43552812071330593,0.4540466392318244,0.4122085048010974,0.4615912208504801,0.30795610425240055,0.048010973936899876,True,replicated,3,3,3,3,False,True,True,True,False,not promoted
decoder,6,all,2024,644,0.6859810518213276,0.6944571457603008,0.6944571457603008,0.5501956002641873,0.3854493869692978,0.4198822759973839,0.6885931069958848,yo,-0.04648572154851592,-0.04648572154851592,0.12634123923948282,-0.41450421923804504,0.07100197405781539,-0.19068689886279347,0.9067215363511659,0.7215363511659808,0.7037037037037037,0.4259259259259259,0.6063100137174211,0.6934156378600823,0.6838134430727023,0.6282578875171468,0.9711934156378601,True,replicated,3,3,3,2,True,True,False,True,False,not promoted
decoder,6,all,2024,1112,0.37272520661842534,0.36537451946688343,0.36537451946688343,0.4087622144320818,0.4090080048637146,0.5474166121648136,0.7824074074074073,en,-0.15840358871641083,-0.15840358871641083,-0.054435063266856945,0.025059184453051775,0.05164821485034715,-0.04848505813582805,0.3004115226337448,0.32373113854595337,0.4403292181069959,0.14677640603566527,0.2935528120713306,0.4458161865569273,0.4753086419753087,0.19067215363511658,0.3635116598079561,True,replicated,3,3,3,1,False,True,False,True,False,not promoted
decoder,6,all,2024,1514,0.3963494646666733,0.3632576334908296,0.3632576334908296,0.4719470270453353,0.5585165670280677,0.09243514279485503,0.7393689986282579,uk,0.0695246746466974,0.0695246746466974,-0.04880673589232078,-0.118975566535131,0.04111984423868776,-0.20808215593099286,0.17283950617283952,0.257201646090535,0.4554183813443073,0.3614540466392318,0.25857338820301784,0.3744855967078189,0.3820301783264746,0.4540466392318243,0.3161865569272977,True,replicated,3,2,2,1,False,True,True,True,False,not promoted
decoder,6,all,2024,2216,0.40561204176495763,0.3915392301309082,0.3915392301309082,0.48391166658199125,0.4550613030702199,0.3616742969260955,0.7439128943758574,en,0.001483057382502783,0.001483057382502783,-0.016189739627064464,-0.09854682839503448,0.01348252853631344,-0.0561723577702872,0.21262002743484226,0.4334705075445816,0.46502057613168724,0.443758573388203,0.4663923182441701,0.3923182441700961,0.4588477366255145,0.29218106995884774,0.10425240054869686,True,replicated,3,3,3,3,False,True,False,True,False,not promoted
decoder,6,content,42,2997,0.814918912014227,0.836551000016935,0.836551000016935,0.619570187471422,0.49713569638381677,0.5231347599768652,0.6272719478737997,yo,-0.0777881718816922,-0.0777881718816922,0.1483839551716824,-0.6263918876148677,0.03140076135391464,-0.2518000692691734,0.9725651577503429,0.8079561042524007,0.8209876543209876,0.7969821673525378,0.7215363511659807,0.8285322359396433,0.8244170096021948,0.8477366255144032,0.9670781893004115,True,replicated,3,3,2,2,True,True,False,True,False,not promoted
decoder,6,content,42,1295,0.6382207590552121,0.6290792392758556,0.6290792392758556,0.5209995088824535,0.42812388113139993,0.41555812608444187,0.6743827160493827,am,-0.06714712926094735,-0.06714712926094735,0.09249826487092769,-0.3400794073865435,0.051741962248265924,-0.13033238796441168,0.9314128943758574,0.5781893004115226,0.6748971193415638,0.4869684499314129,0.5912208504801097,0.6145404663923183,0.5973936899862826,0.5027434842249657,0.8799725651577504,True,replicated,3,3,3,3,False,True,False,True,False,not promoted
decoder,6,content,42,799,0.39269279133115015,0.4094565530322275,0.4094565530322275,0.4298972040170029,0.38054958825635515,0.6229034123770967,0.8098636831275721,en,-0.2063717731468399,-0.2063717731468399,-0.036925358662369456,0.029018286376301397,0.06291644195902574,-0.08597007665940258,0.3936899862825789,0.48696844993141286,0.48422496570644724,0.18381344307270236,0.39917695473251025,0.4910836762688615,0.4787379972565158,0.10973936899862827,0.36008230452674894,True,replicated,3,3,3,1,False,True,False,True,False,not promoted
decoder,6,content,42,2126,0.39283587313910706,0.38046368270419484,0.38046368270419484,0.43615471896221786,0.44933762978875763,0.8591671486408329,0.8708847736625515,yo,-0.17668800392645087,-0.17668800392645087,-0.12594190931778368,0.6354223966999618,0.14481921347029672,0.17949660534699427,0.33333333333333337,0.46159122085048004,0.46296296296296297,0.4622770919067215,0.4444444444444445,0.46159122085048004,0.3847736625514403,0.13648834019204392,0.04801097393689986,True,replicated,3,3,2,1,False,True,True,True,False,not promoted
decoder,6,content,42,2901,0.40019981685528583,0.3858744432589883,0.3858744432589883,0.46331013226303575,0.46621016827783746,0.3997975708502024,0.7862011316872428,en,-0.04603563820634905,-0.04603563820634905,-0.018220500137055777,-0.08880413695758323,0.013840732556944164,-0.04586264871195517,0.22770919067215367,0.4540466392318244,0.46433470507544583,0.4444444444444445,0.45541838134430723,0.39300411522633744,0.47393689986282583,0.31344307270233196,0.053497942386831296,True,replicated,3,3,3,3,False,True,False,True,False,not promoted
decoder,6,content,1337,1701,0.7957948878736301,0.8005216007044996,0.8005216007044996,0.572973293366526,0.49392712550607293,0.46474358974358976,0.6613082990397805,am,0.06346150651534334,0.06346150651534334,0.146083450083292,-0.6083027451453211,0.04821690078688104,-0.2110522214020613,0.9465020576131686,0.8052126200274348,0.8532235939643347,0.7736625514403292,0.7722908093278464,0.8148148148148147,0.7764060356652951,0.6111111111111112,0.9362139917695472,True,replicated,3,2,2,2,True,True,False,True,False,not promoted
decoder,6,content,1337,460,0.6784470688551133,0.6666327964910498,0.6666327964910498,0.5612203424274754,0.4755244755244755,0.46590909090909083,0.6197273662551439,am,-0.07728493457012196,-0.07728493457012196,0.12110716478143534,-0.35026489305447484,0.032543786184319655,-0.15188514644850337,0.9526748971193414,0.6323731138545953,0.6550068587105624,0.4979423868312758,0.5679012345679012,0.6515775034293554,0.5432098765432098,0.5582990397805212,0.9355281207133058,True,replicated,3,3,3,3,True,True,False,True,False,not promoted
decoder,6,content,1337,1351,0.36432029090812573,0.3576690545140476,0.3576690545140476,0.40820335653440365,0.4484725800515274,0.4903846153846154,0.7534293552812071,en,-0.20200920240182682,-0.20200920240182682,-0.05591164707740875,0.06359569681039615,0.018308762650046384,-0.09642999936878337,0.3264746227709191,0.43072702331961593,0.48559670781893,0.20713305898491086,0.2716049382716049,0.4540466392318245,0.5006858710562414,0.11316872427983543,0.35528120713305894,True,replicated,3,3,2,1,False,True,False,True,False,not promoted
decoder,6,content,1337,1566,0.40393031210911706,0.38864333011566665,0.38864333011566665,0.43828854002608,0.4277695988222304,0.6462703962703964,0.9137517146776406,yo,-0.1265477257924512,-0.1265477257924512,-0.12033499193025005,0.6577904243341766,0.15626184943696664,0.2738367460184141,0.2935528120713306,0.4814814814814815,0.4458161865569273,0.421124828532236,0.4478737997256516,0.3004115226337448,0.3943758573388203,0.33196159122085045,0.02469135802469137,True,replicated,3,2,2,1,False,False,False,True,False,not promoted
decoder,6,content,1337,502,0.40411735528415627,0.3895154871378008,0.3895154871378008,0.47229419634540803,0.4554655870445343,0.35139860139860135,0.7736196844993141,en,-0.028528940898920954,-0.028528940898920954,-0.01432829613865166,-0.09059896136309734,0.015956508552368423,-0.0489747149931595,0.2318244170096022,0.45679012345679015,0.4732510288065843,0.4368998628257888,0.4526748971193416,0.4012345679012346,0.4636488340192043,0.3299039780521262,0.046639231824417024,True,replicated,3,3,3,3,False,True,False,True,False,not promoted
decoder,6,content,2024,644,0.6679917286273105,0.6667090043861877,0.6667090043861877,0.5412454063574319,0.3839294761373999,0.3612382821015914,0.6372385116598079,yo,-0.0604009522827158,-0.0604009522827158,0.07050538913970854,-0.2848891898096484,0.02313927661048907,-0.11500904706691975,0.9465020576131686,0.673525377229081,0.710562414266118,0.448559670781893,0.6193415637860082,0.6419753086419754,0.6522633744855966,0.5541838134430725,0.8710562414266119,True,replicated,3,3,3,3,True,True,False,True,False,not promoted
decoder,6,content,2024,1112,0.3914411365589364,0.3960524310318549,0.3960524310318549,0.44349607952717235,0.4247644138210559,0.5140614780902552,0.8024262688614541,en,-0.13732436717593072,-0.13732436717593072,-0.05380136153164273,-0.022614319844330367,0.04974793605974186,-0.08414917618992729,0.34705075445816186,0.40877914951989025,0.48834019204389567,0.15363511659807955,0.36488340192043894,0.4595336076817558,0.46502057613168724,0.2345679012345679,0.4513031550068587,True,replicated,3,3,2,1,False,True,False,True,False,not promoted
decoder,6,content,2024,1514,0.4000853514089203,0.37799115988416404,0.37799115988416404,0.47116801300614736,0.5685479785185936,0.14344887726182692,0.8023405349794238,uk,0.03655676229924094,0.03655676229924094,-0.05716083952858759,-0.05487628260838055,0.04050909058461307,-0.11223885691156243,0.21399176954732513,0.3004115226337449,0.4526748971193415,0.2853223593964334,0.28532235939643347,0.44101508916323734,0.4519890260631001,0.43484224965706453,0.43895747599451307,True,replicated,3,2,2,1,False,True,True,True,False,not promoted
decoder,6,content,2024,2216,0.40735100414398095,0.39089569679418784,0.39089569679418784,0.48488543413097596,0.4516161718512513,0.3581861783300632,0.753257887517147,en,-0.009290254957722859,-0.009290254957722859,-0.017431664360745294,-0.1002170365039223,0.011592486156151048,-0.06106135005567916,0.22359396433470508,0.42935528120713307,0.4629629629629629,0.4499314128943759,0.46364883401920437,0.3868312757201646,0.46570644718792864,0.30658436213991774,0.10150891632373114,True,replicated,3,3,3,3,False,True,False,True,False,not promoted
