side,layer,token_set,seed,feature,train_auc_toxic_vs_reference,best_cos_seed1337,best_cos_seed2024,n_seeds_matched_at_0.5,n_seeds_matched_at_0.6,n_seeds_matched_at_0.7,n_seeds_matched_at_0.8,replicated,status,best_cos_seed42
encoder,4,all,42,646,0.3437355881367348,0.38072267174720764,0.37472298741340637,1,1,1,1,False,seed_specific,
encoder,4,all,42,1440,0.41156092713693715,0.2930542230606079,0.37482407689094543,1,1,1,1,False,seed_specific,
encoder,4,all,42,2072,0.42083387248217485,0.31023555994033813,0.29035860300064087,1,1,1,1,False,seed_specific,
encoder,4,all,42,2762,0.42495545801108825,0.3030417859554291,0.25760143995285034,1,1,1,1,False,seed_specific,
encoder,4,all,42,897,0.42929519145590095,0.33898696303367615,0.3030167818069458,1,1,1,1,False,seed_specific,
encoder,4,all,42,1787,0.42945361826934886,0.6567733287811279,0.5527873635292053,3,2,1,1,False,seed_specific,
encoder,4,all,42,1921,0.4297621772986818,0.6121635437011719,0.5303028225898743,3,2,1,1,False,seed_specific,
encoder,4,all,42,2205,0.4297775223041729,0.4207773804664612,0.5163918733596802,2,1,1,1,False,seed_specific,
encoder,4,all,42,1162,0.43092964190563404,0.41831085085868835,0.46453070640563965,1,1,1,1,False,seed_specific,
encoder,4,all,42,2065,0.5683508017558003,0.5909155011177063,0.40849459171295166,2,1,1,1,False,seed_specific,
encoder,4,all,42,2379,0.4327967558170013,0.3120514154434204,0.2430380880832672,1,1,1,1,False,seed_specific,
encoder,4,all,42,2869,0.4352312202016583,0.3501970171928406,0.2887521982192993,1,1,1,1,False,seed_specific,
encoder,4,all,42,2011,0.5643619297878906,0.29266083240509033,0.25056833028793335,1,1,1,1,False,seed_specific,
encoder,4,all,42,3041,0.43744878086005023,0.24932217597961426,0.2490733414888382,1,1,1,1,False,seed_specific,
encoder,4,all,42,1930,0.4378597781692828,0.37062758207321167,0.4157424569129944,1,1,1,1,False,seed_specific,
encoder,4,all,42,1183,0.5621294388538857,0.27469122409820557,0.31558555364608765,1,1,1,1,False,seed_specific,
encoder,4,all,42,216,0.4382052481577699,0.27759552001953125,0.2454701066017151,1,1,1,1,False,seed_specific,
encoder,4,all,42,2015,0.4384914117736836,0.21845132112503052,0.3134669065475464,1,1,1,1,False,seed_specific,
encoder,4,all,42,2837,0.43923170460615596,0.28037774562835693,0.3119080364704132,1,1,1,1,False,seed_specific,
encoder,4,all,42,2201,0.4394112826433887,0.33709418773651123,0.2850477695465088,1,1,1,1,False,seed_specific,
encoder,4,all,42,1407,0.4395298953885355,0.23807740211486816,0.21612213551998138,1,1,1,1,False,seed_specific,
encoder,4,all,42,255,0.44023078888258504,0.31639713048934937,0.26380455493927,1,1,1,1,False,seed_specific,
encoder,4,all,42,2153,0.55957677645396,0.2874723970890045,0.2232227623462677,1,1,1,1,False,seed_specific,
encoder,4,all,42,1944,0.4425441521428264,0.4764472544193268,0.5139451026916504,2,1,1,1,False,seed_specific,
encoder,4,all,42,1210,0.5569001098204718,0.43037575483322144,0.36930525302886963,1,1,1,1,False,seed_specific,
encoder,4,all,42,215,0.5567549543631242,0.3010025918483734,0.33900654315948486,1,1,1,1,False,seed_specific,
encoder,4,all,42,2829,0.44422256395964177,0.46381017565727234,0.3401423692703247,1,1,1,1,False,seed_specific,
encoder,4,all,42,2325,0.5555397958201864,0.29552721977233887,0.3223877549171448,1,1,1,1,False,seed_specific,
encoder,4,all,42,478,0.4450628066927449,0.3046213984489441,0.2378501296043396,1,1,1,1,False,seed_specific,
encoder,4,all,42,2729,0.4458773361734036,0.3755511939525604,0.43353521823883057,1,1,1,1,False,seed_specific,
encoder,4,all,42,2673,0.553974605260102,0.3281491994857788,0.3199397027492523,1,1,1,1,False,seed_specific,
encoder,4,all,42,1128,0.44621658521371854,0.31283116340637207,0.23184643685817719,1,1,1,1,False,seed_specific,
encoder,4,all,42,214,0.5530609553385689,0.39561963081359863,0.31550994515419006,1,1,1,1,False,seed_specific,
encoder,4,all,42,1402,0.552139010819473,0.4019019901752472,0.3318246901035309,1,1,1,1,False,seed_specific,
encoder,4,all,42,213,0.551032926234485,0.366743266582489,0.3059442639350891,1,1,1,1,False,seed_specific,
encoder,4,all,42,229,0.5509010421332378,0.4211784899234772,0.42609649896621704,1,1,1,1,False,seed_specific,
encoder,4,all,42,2406,0.44955516073271157,0.35691648721694946,0.2815619111061096,1,1,1,1,False,seed_specific,
