stage,split,intervention,family,seed,scope,n_pairs,n_languages,sta,delta_sta,delta_sta_ci_lo,delta_sta_ci_hi,effect_size_sta,sta_languages_included,sim,delta_sim,delta_sim_ci_lo,delta_sim_ci_hi,effect_size_sim,sim_languages_included,fl,delta_fl,delta_fl_ci_lo,delta_fl_ci_hi,effect_size_fl,fl_languages_included,j,delta_j,delta_j_ci_lo,delta_j_ci_hi,effect_size_j,j_languages_included
stage11_ablation,dev,language_detectors,ablation_primary,42,macro_over_languages,243,9,0.41590162712238093,0.011679972853492062,-0.022897069327828035,0.04297616885758332,0.0483069601437757,7.0,0.8389182573333335,0.0006536375761316895,-0.006355789935905346,0.007648187952160495,0.011791246520553501,9,0.573247175705861,-0.002364128785287739,-0.009839637026712129,0.0055244830475814355,-0.03671327582717593,9,0.2899788520867198,0.007423913143050858,-0.015305714010698565,0.03043207604239575,0.04477211345176862,7.0
stage11_ablation,dev,language_detectors,ablation_primary,1337,macro_over_languages,243,9,0.4248989998801058,0.009762319991164023,-0.01688862589908598,0.03664789580367063,0.048694304838535256,7.0,0.8257484126625515,0.00437682457201646,-0.0018101894375514415,0.010245416761419752,0.09358882745645859,9,0.5760385719420016,-0.0024886661312410827,-0.009258995780493865,0.003648856589637682,-0.04638305617182904,9,0.29065662162772465,0.002331802123433848,-0.01556030164006454,0.02008623851605191,0.018186287061712176,7.0
stage11_ablation,dev,language_detectors,ablation_primary,2024,macro_over_languages,243,9,0.4078732401684127,-0.024337255583280426,-0.05563056608272354,0.002400999075714266,-0.11552426625350175,7.0,0.8306836601481481,0.006897783382716053,-0.0027892694752057585,0.01844750841625514,0.08036405256853428,9,0.5706097734818819,-0.001548345836231573,-0.0074018408630238865,0.003946836259483789,-0.034775835359732415,9,0.27526730326188126,-0.02459682538087732,-0.04668364850277094,-0.004610343342215792,-0.15884340813992612,7.0
stage11_ablation,dev,random_heads_matched,ablation_random_control,42,macro_over_languages,243,9,0.39237741343724863,-0.011844240831640214,-0.05446327784806746,0.027558513492865068,-0.04253025274888547,7.0,0.8278409431193416,-0.01042367663786008,-0.018246692712551436,-0.003632626389197533,-0.16432213188374697,9,0.5714532873121332,-0.004158017179015622,-0.013029047735852525,0.004659929389858865,-0.06077400762947879,9,0.2690000247180069,-0.013554914225662013,-0.03982114173482362,0.011188364732544772,-0.07222378318631688,7.0
stage11_ablation,dev,random_heads_matched,ablation_random_control,1337,macro_over_languages,243,9,0.4188644315580952,0.003727751669153442,-0.029573519765887558,0.036031966262522475,0.015912378013683847,7.0,0.8158755503950618,-0.005496037695473251,-0.013178565465123457,0.0021177632188271608,-0.08941679183003555,9,0.5743378424087587,-0.004189395664483985,-0.010488848168128366,0.0022547247685395806,-0.08480957192189169,9,0.2809637840593139,-0.007361035444977011,-0.029506259983034473,0.01380379639055223,-0.047756668627113655,7.0
stage11_ablation,dev,random_heads_matched,ablation_random_control,2024,macro_over_languages,243,9,0.4028508158229629,-0.029359679928730155,-0.06538843848236242,0.0072347439044801445,-0.10271054314202849,7.0,0.817705791925926,-0.006080084839506172,-0.014738810817695474,0.003398327164197526,-0.07930932049603287,9,0.5648818354398557,-0.007276283878257772,-0.013979290639567694,-0.0009486884592984733,-0.14512756755697528,9,0.25853627721970807,-0.041327851423050524,-0.06870764165494198,-0.015635497954832857,-0.2110128379160321,7.0
stage11_ablation,dev,random_neurons_matched,ablation_random_control,42,macro_over_languages,243,9,0.40535101218238084,0.0011293579134920646,-0.012460777815652116,0.01585818251354894,0.012187449254536003,7.0,0.8360011777102881,-0.002263442046913577,-0.004459164231687237,-0.0001583674535596644,-0.12337587950958578,9,0.5753802557142949,-0.0002310487768539588,-0.0037389272308028854,0.003310185560180562,-0.00842397910148652,9,0.28267938403138776,0.00012444508771886165,-0.008661584766217601,0.01051747256911734,0.0018795338779100828,7.0
stage11_ablation,dev,random_neurons_matched,ablation_random_control,1337,macro_over_languages,243,9,0.4118823836324868,-0.0032542962564550255,-0.008596240348164018,0.000101571236574076,-0.09808860266892905,7.0,0.8238333051358024,0.0024617170452674894,-0.0018644252271604938,0.007499996066460902,0.06611009621305602,9,0.5790668543311471,0.0005396162579044361,-0.003032401639181422,0.0042533336071932165,0.017162155133499647,9,0.2864562461378167,-0.0018685733664741756,-0.005360890148896941,0.0005447878520371681,-0.08853974862812262,7.0
stage11_ablation,dev,random_neurons_matched,ablation_random_control,2024,macro_over_languages,243,9,0.4431389315126983,0.01092843576100529,-1.6272565805557547e-05,0.026779751938039675,0.10659676882541635,7.0,0.8225500781646091,-0.0012357986008230434,-0.0042683936646090515,0.0006928073271604971,-0.05563475493337409,9,0.5727257870785127,0.000567667760399216,-0.0009388043139832751,0.0025319265270522086,0.04261611978614321,9,0.3044435890656819,0.00457946042292339,0.00027898380051839453,0.010855748620487608,0.1184574161365191,7.0
stage11_ablation,dev,sae_replicated_features,ablation_sae_control,42,macro_over_languages,243,9,0.41318438573703703,0.008962731468148149,-0.01812729991239813,0.037346941510055555,0.04674207980384341,7.0,0.8294801886460906,-0.008784431111111112,-0.017555940106584362,-0.0016255679902263378,-0.1399723198986203,9,0.5732259493880347,-0.002385355103114088,-0.01029268370717815,0.004980588069554738,-0.038620239826906134,9,0.28606477650901035,0.0035098375653414256,-0.014366283799219138,0.02346358526393494,0.026125638942502624,7.0
