stage,split,intervention,family,seed,language,n_pairs,sta_supported,sta_status,sta,sta_baseline,delta_sta,delta_sta_ci_lo,delta_sta_ci_hi,effect_size_sta,sim,sim_baseline,delta_sim,delta_sim_ci_lo,delta_sim_ci_hi,effect_size_sim,fl,fl_baseline,delta_fl,delta_fl_ci_lo,delta_fl_ci_hi,effect_size_fl,j,j_baseline,delta_j,delta_j_ci_lo,delta_j_ci_hi,effect_size_j,sta_unvalidated,copy_rate,loose_copy_rate,empty_rate,sentinel_rate,unique_output_rate,top_output_share,template_rate,baseline_copy_rate,delta_copy_rate,baseline_loose_copy_rate,delta_loose_copy_rate,baseline_empty_rate,delta_empty_rate,baseline_sentinel_rate,delta_sentinel_rate,baseline_unique_output_rate,delta_unique_output_rate,baseline_top_output_share,delta_top_output_share,baseline_template_rate,delta_template_rate
stage11_ablation,dev,language_detectors,ablation_primary,42,am,27,True,validated,0.4827750955388889,0.48530017360185185,-0.0025250780629629656,-0.10985719824074075,0.10196662630740741,-0.009539357833470598,0.95829997,0.9720931407407406,-0.013793170740740737,-0.040081203972222215,0.006949136388888894,-0.20766797028251338,0.42247729616843077,0.436148070343123,-0.01367077417469225,-0.02618594613561526,-0.0022969569941865414,-0.399172583777503,0.20837136071825169,0.22790665890360107,-0.019535298185349357,-0.0667443175812529,0.01134725139918556,-0.17399328425737004,,0.4074074074074074,0.4074074074074074,0.0,0.0,1.0,0.037037037037037035,0.0,0.48148148148148145,-0.07407407407407407,0.48148148148148145,-0.07407407407407407,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
stage11_ablation,dev,language_detectors,ablation_primary,42,ar,27,True,validated,0.3750928793466667,0.43751452303185184,-0.062421643685185164,-0.15816663728672226,7.413374074932937e-08,-0.276912525504471,0.9840792196296296,0.9705202588888888,0.013558960740740741,-8.527777779302832e-09,0.0403564486574074,0.19723385041336264,0.7549433696561111,0.7470179294905732,0.007925440165537864,-0.00020074293886977683,0.024077434904918253,0.18993710890192053,0.29955672498595853,0.33222696271701485,-0.032670237731056345,-0.0785197592785643,8.148414421592806e-08,-0.27220701724142315,,0.6296296296296297,0.6296296296296297,0.0,0.0,1.0,0.037037037037037035,0.0,0.6296296296296297,0.0,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
stage11_ablation,dev,language_detectors,ablation_primary,42,de,27,True,validated,0.5179063327125927,0.5201476332051852,-0.0022413004925925938,-0.11163462516988891,0.10451315154701851,-0.008232887343917776,0.9904749685185186,0.9929246177777777,-0.0024496492592592503,-0.009163925240740745,0.001432136527777783,-0.16972016676174623,0.7607189842853105,0.7580193171794553,0.0026996671058553494,-0.0019862302308854616,0.009518604268945909,0.1603733893172625,0.4177651135462412,0.4272687064297553,-0.009503592883514043,-0.09577283874193318,0.06046804303843586,-0.04401196724035418,,0.5555555555555556,0.5555555555555556,0.0,0.0,1.0,0.037037037037037035,0.0,0.5555555555555556,0.0,0.5925925925925926,-0.03703703703703698,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
stage11_ablation,dev,language_detectors,ablation_primary,42,en,27,True,validated,0.555450498635926,0.5184986978966667,0.036951800739259265,-0.07406034896938887,0.1848860218108981,0.10959217441438356,0.9194748388888889,0.9081240111111112,0.011350827777777787,-0.012676928287037027,0.03806625399074074,0.164643533790285,0.7050544457084926,0.6822716819072382,0.022782763801254505,-0.011897203206061826,0.06566503377597982,0.21397596944706163,0.4159414218966045,0.3710785729951614,0.04486284890144305,-0.055037972896700066,0.1421579282943935,0.17036093601293215,,0.07407407407407407,0.07407407407407407,0.0,0.0,1.0,0.037037037037037035,0.0,0.1111111111111111,-0.037037037037037035,0.1111111111111111,-0.037037037037037035,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
stage11_ablation,dev,language_detectors,ablation_primary,42,es,27,True,validated,0.3733228766677778,0.3016377083625926,0.07168516830518518,4.816553003703084e-05,0.18001097302821295,0.2789728499737193,0.950038985185185,0.9482449866666666,0.0017939985185185228,-0.022096284481481453,0.03184685494444446,0.024688626806800812,0.6843838073043015,0.6760109348402009,0.008372872464100622,-0.01968118771789271,0.04198538771888633,0.10116840782620576,0.23221833548053897,0.1861693583596486,0.046048977120890386,-0.014383988221016959,0.1317116066743379,0.2329140721788816,,0.2962962962962963,0.2962962962962963,0.0,0.0,1.0,0.037037037037037035,0.0,0.3333333333333333,-0.037037037037037035,0.3333333333333333,-0.037037037037037035,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
stage11_ablation,dev,language_detectors,ablation_primary,42,hi,27,True,validated,0.18989584854444444,0.18633430389185188,0.0035615446525925926,-4.242966453697916e-06,0.010303977029648144,0.2145903516394401,0.9435485855555557,0.9417498748148149,0.0017987107407407337,-0.01425151505555557,0.018901700861111106,0.03829619892345231,0.6602632662524707,0.674222173578014,-0.013958907325543102,-0.04572478946832709,0.006824835263989988,-0.19037378018061193,0.1370690612413724,0.1341729104495867,0.002896150791785675,-9.69637961782756e-06,0.008166236402570371,0.23171277407453672,,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.037037037037037035,0.0,0.4074074074074074,-0.07407407407407407,0.4074074074074074,-0.07407407407407407,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
stage11_ablation,dev,language_detectors,ablation_primary,42,uk,27,True,validated,0.41686785841037033,0.3801185398922222,0.036749318518148145,-3.2103073342592586e-05,0.11029188428541666,0.19237138128133174,0.9588256933333332,0.9639625477777777,-0.005136854444444445,-0.01446966703703704,0.0018181670370370402,-0.23286735096578942,0.7314176352808387,0.7346968006065934,-0.0032791653257547232,-0.018378230782047263,0.005512072548826734,-0.09544606251284869,0.31892994673807107,0.29906140275091436,0.019868543987156637,-2.2881443063332167e-05,0.05963652530366062,0.19234688739833547,,0.2962962962962963,0.37037037037037035,0.0,0.0,1.0,0.037037037037037035,0.0,0.3333333333333333,-0.037037037037037035,0.4074074074074074,-0.037037037037037035,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
stage11_ablation,dev,language_detectors,ablation_primary,42,xh,27,False,unavailable/unvalidated,,,,,,,0.42067978,0.4266632694444445,-0.00598348944444444,-0.022756857138888885,0.011132980023148144,-0.1301238083411423,0.19759998740792334,0.20137673626257235,-0.0037767488546490424,-0.012314844733344894,0.0044950910476267755,-0.16859084758365256,,,,,,,0.7573994972925928,0.0,0.0,0.0,0.0,0.6296296296296297,0.25925925925925924,0.0,0.037037037037037035,-0.037037037037037035,0.037037037037037035,-0.037037037037037035,0.0,0.0,0.0,0.0,0.5555555555555556,0.07407407407407407,0.25925925925925924,0.0,0.0,0.0
stage11_ablation,dev,language_detectors,ablation_primary,42,yo,27,False,unavailable/unvalidated,,,,,,,0.42484227488888887,0.4200988705925926,0.004743404296296294,-0.017310199890740736,0.026839626231481468,0.07698081017753691,0.24236578928887026,0.27073809621256917,-0.028372306923698867,-0.06560009541780122,0.0005307846018438578,-0.312126157108033,,,,,,,0.8574014989518519,0.1111111111111111,0.1111111111111111,0.0,0.0,0.6296296296296297,0.2962962962962963,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-0.03703703703703698,0.2962962962962963,0.0,0.0,0.0
stage11_ablation,dev,language_detectors,ablation_primary,1337,am,27,True,validated,0.48351580073518513,0.44831073234999996,0.03520506838518519,-0.00359181392648147,0.10980173117499999,0.18552916279478632,0.9690700196296297,0.9660002851851852,0.0030697344444444515,-0.012957481500000007,0.02480030341666667,0.05824627369050898,0.42212477125542563,0.42810630725858934,-0.005981536003163653,-0.021872263684223684,0.006419512841824016,-0.1517813596887495,0.20904332714038174,0.20215740987126218,0.0068859172691195635,-0.005212351339907508,0.02341729115471482,0.17813705388688458,,0.2962962962962963,0.2962962962962963,0.0,0.0,1.0,0.037037037037037035,0.0,0.4074074074074074,-0.1111111111111111,0.4074074074074074,-0.1111111111111111,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
