stage,split,intervention,family,seed,language,delta_sta,delta_sta_ci_lo,delta_sta_ci_hi,delta_sim,delta_sim_ci_lo,delta_sim_ci_hi,delta_j,effect_size_sta,effect_size_sim
stage11_ablation,dev,random_heads_matched,ablation_random_control,42,es,0.039615592300370366,-0.11050044618447218,0.2091992096553796,-0.022089720370370363,-0.04470497812962961,-0.00277900910185184,0.01945282408082312,0.09348767655505939,-0.3828198832629874
stage11_ablation,dev,random_heads_matched,ablation_random_control,1337,es,0.10974211746925924,-1.450389706481779e-05,0.2547669777505,-0.022068674074074066,-0.042529940731481475,-0.004924677898148139,0.054870666681598394,0.3456914501289824,-0.42251434755789946
stage11_ablation,dev,random_heads_matched,ablation_random_control,2024,am,0.08739398446111112,0.005189314364166657,0.18958470476486108,-0.02276732888888889,-0.06339546271296298,0.006880655407407404,0.034134176435445356,0.35371365949311145,-0.23938826466570384
stage11_ablation,dev,sae_replicated_features,ablation_sae_control,42,am,0.06539420725925925,-0.0005928028546296305,0.16315864523796295,-0.022098181481481485,-0.05236669733333332,-0.00014285162962963057,0.01595629018590847,0.2879160765909251,-0.29841006458149355
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,42,am,0.3624822870277778,0.1491677410562963,0.5677029719323611,-0.1698139,-0.24192123596296297,-0.10311116825925926,0.05106695623130634,0.6620265065214668,-0.9107735411927492
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,42,ar,0.18335571767555553,0.07223981979937037,0.3303752730902037,-0.027035427037037034,-0.047492976694444446,-0.008382538638888881,0.1198937481311857,0.4688784749987183,-0.527719378654347
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,42,de,0.21757373293185184,0.07579336711509262,0.3980866849072777,-0.04758206814814813,-0.08172062046296295,-0.0220126250185185,0.0895125375127811,0.5295788825927341,-0.59904427269031
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,42,en,0.22200605160148149,0.07400371375430556,0.3700945846240463,-0.034666587777777765,-0.06770631180555554,-0.0020097904814814875,0.13490283212035495,0.5245921413204407,-0.3899858078400084
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,42,es,0.2476925310633333,0.06763848229791668,0.4231897472845001,-0.09336456703703704,-0.1360352553796296,-0.05461384272222224,0.15131088934609307,0.48832616919981986,-0.8470720201837556
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,42,hi,0.06288307145962964,-0.01410278765875926,0.16942521685208325,-0.0670932888888889,-0.10138584585185187,-0.03619831492592595,0.03265611052883045,0.24576737983216457,-0.719844944319829
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,42,uk,0.21537467622407402,0.06980946936037037,0.38624132125829636,-0.05728805592592593,-0.09279941744444443,-0.03232616250925926,0.127553455413689,0.534961173191069,-0.72971547023156
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,1337,am,0.3563907798981482,0.17018174436504643,0.5506889405593056,-0.15921750555555556,-0.19751439801851853,-0.12225971906481481,0.03961656598281023,0.6758766001603322,-1.5069323028364134
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,1337,ar,0.03513416045259258,-0.07709515709249998,0.14818164159231484,-0.027799451481481486,-0.05193208292592591,-0.006603335472222232,0.00413319745021901,0.10544185325316759,-0.4319939402371048
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,1337,de,0.08452805226148147,-0.029562659884537042,0.22346759594655552,-0.03298084259259259,-0.05280221204629629,-0.015764588472222226,0.015845013641067135,0.2374358396417571,-0.6553728584909166
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,1337,en,0.14805620369,0.03700735224796296,0.2960559998484352,-0.04954847851851852,-0.08478583299074073,-0.016650782074074097,0.03746327627854192,0.40936180465580835,-0.5022169141084848
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,1337,es,0.2229273356048148,0.10029721838342631,0.37354123135373146,-0.06704439407407407,-0.09305826644444441,-0.042728068092592573,0.11229213527368953,0.527566806706123,-0.9623675247862056
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,1337,hi,0.06614661103518518,-0.014140619156888887,0.18058505742001854,-0.058110498148148164,-0.09453572651851853,-0.02825989145370372,0.038354125643116486,0.2481847184256928,-0.6563395898775023
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,1337,uk,0.17784471996296294,0.049869673567935355,0.33461958115268514,-0.06381462740740741,-0.10053907503703703,-0.034672061944444464,0.1028505331547012,0.44317870718332475,-0.7286439635256142
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,2024,am,0.27228794919148147,0.06244151913833333,0.4724398757413611,-0.14230339555555555,-0.21017834328703702,-0.0750752576203704,0.009613493452262147,0.49930888292914793,-0.7858370063013009
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,2024,ar,0.11445575205148145,-0.03762342820212037,0.2621916854477592,-0.02934879185185185,-0.05118404102777777,-0.010376228018518513,0.05748333886954629,0.2749597504614471,-0.5176216673777205
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,2024,de,0.24375499623555555,0.10231618107040741,0.41152533443781464,-0.06054141851851852,-0.0936977006574074,-0.03409195682407407,0.08748958896798177,0.5802054319156038,-0.746307918474568
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,2024,en,0.18504162452185186,0.03711104190288891,0.33309565708351857,-0.06639328037037036,-0.1259442998703703,-0.020147610333333312,0.07110748389057119,0.4678871494619985,-0.45326162215127264
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,2024,es,0.10825674410074076,-0.034730084084083325,0.2592239974081389,-0.05336025592592594,-0.08316357430555557,-0.02359046495370372,0.06893534362909276,0.25929082602755044,-0.6464963868512001
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,2024,hi,0.03428805699,-0.07974604635105553,0.14859328849125925,-0.07240365222222224,-0.11945404285185185,-0.021276835796296304,0.014061152288004409,0.10325640817142503,-0.5426866252364717
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,2024,uk,0.11100169555518519,-0.036456587394824075,0.25906803402126855,-0.04823982111111111,-0.08511896768518516,-0.018482148518518544,0.017867030805568066,0.2638794612614563,-0.5464973078496186
stage11_ablation,dev,top_decoder_self_heads,ablation_primary,42,am,0.03948097292185184,-0.07514396416723149,0.15256729829731486,-0.029581037037037034,-0.051663294527777785,-0.011965359731481478,-0.00596142005984416,0.11839304412315418,-0.5363479956070838
stage11_ablation,dev,top_decoder_self_heads,ablation_primary,42,es,0.17652823454444444,0.03659999371106481,0.3200547596948426,-0.02406658037037037,-0.04705327037962965,0.002730735324074078,0.10979788007329534,0.46756110025236514,-0.3849870936667389
stage11_ablation,dev,top_decoder_self_heads,ablation_primary,42,uk,0.10140218169888889,-0.008152581225111115,0.22152572090113887,-0.022517564814814813,-0.0371658917222222,-0.009900523972222216,0.043579110772474366,0.31193012048529245,-0.6170693332152227
stage11_ablation,dev,top_decoder_self_heads,ablation_primary,1337,uk,0.10255923478925925,-0.008143728626925924,0.24197214129755554,-0.031286158148148155,-0.06212430591666667,-0.007771993638888891,0.054567419415139325,0.3147592155434009,-0.4627682924527761
stage11_ablation,dev,top_encoder_components,ablation_primary,2024,en,0.03701832114851854,-4.244226716665479e-05,0.11104063794490744,-0.03121073740740739,-0.08954663096296295,0.004081208675925939,0.026707432444902916,0.1926186986186767,-0.22504919229210255
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,42,am,0.18870031232037035,0.03242686941412065,0.3604536648196296,-0.11647929185185187,-0.1722607726851852,-0.0671963941111111,-0.009759815865823439,0.3993087701519537,-0.7957175312980558
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,42,de,0.14493118213925926,0.03399709844046296,0.28457558159955554,-0.03458802555555555,-0.055496451481481475,-0.017892331203703676,0.06453132493655903,0.41740350390689507,-0.7109652898786851
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,42,es,0.25417117653814814,0.10889445860391667,0.40482750210248153,-0.06416017,-0.09866746574074073,-0.030069802537037046,0.13276784004512024,0.5819239066097758,-0.6646541964936548
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,42,hi,0.037237025784074076,0.0007957559542592722,0.10482237958249997,-0.06974488629629631,-0.12401354621296296,-0.02936272292592595,0.01667707683208764,0.2205510341473381,-0.557567847912412
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,42,uk,0.1759065485607407,0.03709152467628704,0.32423681564895346,-0.04220004000000001,-0.07143867685185186,-0.017713690370370367,0.11571449888511474,0.46507152616550707,-0.5828626646996559
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,1337,am,0.15892088437444446,-0.005466949714972209,0.31441714921527775,-0.07621247111111111,-0.11451400219444442,-0.03073945816666668,-0.013396200404169554,0.35492818402148163,-0.688324844087521
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,1337,en,0.1110901313625926,9.09264782407461e-05,0.2590343991808981,-0.039259840370370384,-0.07123917518518517,-0.01259856907407409,0.037130838729393524,0.3472439887722244,-0.4936333900013568
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,1337,es,0.2234658169622222,0.07661802227719444,0.3952033743579351,-0.02257670296296296,-0.04687593938888887,0.0030235344166666847,0.1316865296478937,0.5389592076440043,-0.3400805976755341
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,1337,uk,0.14006816867185184,0.02278772072650928,0.2873224105746759,-0.05200967740740741,-0.07973323599074075,-0.027591402574074077,0.0869396620245034,0.3810863457999244,-0.7182193205024558
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,2024,am,0.1316459404925926,-0.012591851559259234,0.2906398605476852,-0.07127552703703705,-0.11956363463888887,-0.024661904888888912,-0.006286593873215695,0.3203720124909149,-0.5574020206159905
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,2024,ar,0.028222180976296283,-0.11476347986661113,0.18989726040538882,-0.021416327777777782,-0.04423652664814816,-0.001532340324074087,0.0009370659925455988,0.0682097338205722,-0.36910761203321535
