scope,side,layer,pooling,seed,cos_meandiff_probe
lang_am,decoder,4,pooled_mean_all,42,0.7270565032958984
lang_am,decoder,4,pooled_mean_all,1337,0.7148500084877014
lang_am,decoder,4,pooled_mean_all,2024,0.7281777262687683
lang_am,decoder,4,pooled_mean_content,42,0.7244240045547485
lang_am,decoder,4,pooled_mean_content,1337,0.7025632858276367
lang_am,decoder,4,pooled_mean_content,2024,0.7183337211608887
lang_am,decoder,6,pooled_mean_all,42,0.6472443342208862
lang_am,decoder,6,pooled_mean_all,1337,0.6463592052459717
lang_am,decoder,6,pooled_mean_all,2024,0.6347390413284302
lang_am,decoder,6,pooled_mean_content,42,0.6477788686752319
lang_am,decoder,6,pooled_mean_content,1337,0.6447166204452515
lang_am,decoder,6,pooled_mean_content,2024,0.638464093208313
lang_am,decoder,8,pooled_mean_all,42,0.673292338848114
lang_am,decoder,8,pooled_mean_all,1337,0.6629637479782104
lang_am,decoder,8,pooled_mean_all,2024,0.6668698787689209
lang_am,decoder,8,pooled_mean_content,42,0.6664975881576538
lang_am,decoder,8,pooled_mean_content,1337,0.6523486971855164
lang_am,decoder,8,pooled_mean_content,2024,0.6603873372077942
lang_am,encoder,4,pooled_mean_all,42,0.47053107619285583
lang_am,encoder,4,pooled_mean_all,1337,0.4967373311519623
lang_am,encoder,4,pooled_mean_all,2024,0.5563532114028931
lang_am,encoder,4,pooled_mean_content,42,0.622244119644165
lang_am,encoder,4,pooled_mean_content,1337,0.5992263555526733
lang_am,encoder,4,pooled_mean_content,2024,0.5776491165161133
lang_am,encoder,6,pooled_mean_all,42,0.4921509623527527
lang_am,encoder,6,pooled_mean_all,1337,0.5257260203361511
lang_am,encoder,6,pooled_mean_all,2024,0.5823262333869934
lang_am,encoder,6,pooled_mean_content,42,0.6030402183532715
lang_am,encoder,6,pooled_mean_content,1337,0.603972315788269
lang_am,encoder,6,pooled_mean_content,2024,0.6164681315422058
lang_am,encoder,8,pooled_mean_all,42,0.5374886989593506
lang_am,encoder,8,pooled_mean_all,1337,0.55986487865448
lang_am,encoder,8,pooled_mean_all,2024,0.6001083850860596
lang_am,encoder,8,pooled_mean_content,42,0.6530755758285522
lang_am,encoder,8,pooled_mean_content,1337,0.6478700637817383
lang_am,encoder,8,pooled_mean_content,2024,0.6421794295310974
lang_ar,decoder,4,pooled_mean_all,42,0.6448787450790405
lang_ar,decoder,4,pooled_mean_all,1337,0.656343936920166
lang_ar,decoder,4,pooled_mean_all,2024,0.7035658359527588
lang_ar,decoder,4,pooled_mean_content,42,0.6685016751289368
lang_ar,decoder,4,pooled_mean_content,1337,0.6718510985374451
lang_ar,decoder,4,pooled_mean_content,2024,0.7131322622299194
lang_ar,decoder,6,pooled_mean_all,42,0.6048698425292969
lang_ar,decoder,6,pooled_mean_all,1337,0.6075552105903625
lang_ar,decoder,6,pooled_mean_all,2024,0.6252331733703613
lang_ar,decoder,6,pooled_mean_content,42,0.6275513768196106
lang_ar,decoder,6,pooled_mean_content,1337,0.6277220845222473
lang_ar,decoder,6,pooled_mean_content,2024,0.6430135369300842
lang_ar,decoder,8,pooled_mean_all,42,0.6359961628913879
lang_ar,decoder,8,pooled_mean_all,1337,0.6371328830718994
lang_ar,decoder,8,pooled_mean_all,2024,0.656662106513977
lang_ar,decoder,8,pooled_mean_content,42,0.6755369901657104
lang_ar,decoder,8,pooled_mean_content,1337,0.6743090152740479
lang_ar,decoder,8,pooled_mean_content,2024,0.6959170699119568
lang_ar,encoder,4,pooled_mean_all,42,0.21094176173210144
lang_ar,encoder,4,pooled_mean_all,1337,0.21929487586021423
lang_ar,encoder,4,pooled_mean_all,2024,0.24272280931472778
lang_ar,encoder,4,pooled_mean_content,42,0.3812471032142639
lang_ar,encoder,4,pooled_mean_content,1337,0.44830259680747986
lang_ar,encoder,4,pooled_mean_content,2024,0.48837581276893616
lang_ar,encoder,6,pooled_mean_all,42,0.2599254846572876
lang_ar,encoder,6,pooled_mean_all,1337,0.2623926103115082
lang_ar,encoder,6,pooled_mean_all,2024,0.29867416620254517
lang_ar,encoder,6,pooled_mean_content,42,0.435044527053833
lang_ar,encoder,6,pooled_mean_content,1337,0.4845926761627197
lang_ar,encoder,6,pooled_mean_content,2024,0.5203341245651245
lang_ar,encoder,8,pooled_mean_all,42,0.31638315320014954
lang_ar,encoder,8,pooled_mean_all,1337,0.32050469517707825
lang_ar,encoder,8,pooled_mean_all,2024,0.3502441644668579
lang_ar,encoder,8,pooled_mean_content,42,0.4931809902191162
lang_ar,encoder,8,pooled_mean_content,1337,0.5380741953849792
lang_ar,encoder,8,pooled_mean_content,2024,0.5597584247589111
lang_de,decoder,4,pooled_mean_all,42,0.7916885614395142
lang_de,decoder,4,pooled_mean_all,1337,0.7862753868103027
lang_de,decoder,4,pooled_mean_all,2024,0.7737492322921753
lang_de,decoder,4,pooled_mean_content,42,0.7986591458320618
lang_de,decoder,4,pooled_mean_content,1337,0.7923344373703003
lang_de,decoder,4,pooled_mean_content,2024,0.7735069394111633
lang_de,decoder,6,pooled_mean_all,42,0.6872761249542236
lang_de,decoder,6,pooled_mean_all,1337,0.6949756145477295
lang_de,decoder,6,pooled_mean_all,2024,0.6724785566329956
lang_de,decoder,6,pooled_mean_content,42,0.705842137336731
lang_de,decoder,6,pooled_mean_content,1337,0.7128492593765259
lang_de,decoder,6,pooled_mean_content,2024,0.6807262897491455
lang_de,decoder,8,pooled_mean_all,42,0.6932731866836548
lang_de,decoder,8,pooled_mean_all,1337,0.6789387464523315
lang_de,decoder,8,pooled_mean_all,2024,0.6996284127235413
lang_de,decoder,8,pooled_mean_content,42,0.7262929677963257
lang_de,decoder,8,pooled_mean_content,1337,0.7111914753913879
lang_de,decoder,8,pooled_mean_content,2024,0.7257563471794128
lang_de,encoder,4,pooled_mean_all,42,0.2957911789417267
lang_de,encoder,4,pooled_mean_all,1337,0.31276991963386536
lang_de,encoder,4,pooled_mean_all,2024,0.30496957898139954
lang_de,encoder,4,pooled_mean_content,42,0.7419476509094238
lang_de,encoder,4,pooled_mean_content,1337,0.744135856628418
lang_de,encoder,4,pooled_mean_content,2024,0.705573320388794
lang_de,encoder,6,pooled_mean_all,42,0.3831314146518707
lang_de,encoder,6,pooled_mean_all,1337,0.41179436445236206
lang_de,encoder,6,pooled_mean_all,2024,0.3918721079826355
lang_de,encoder,6,pooled_mean_content,42,0.7022585868835449
lang_de,encoder,6,pooled_mean_content,1337,0.7275923490524292
lang_de,encoder,6,pooled_mean_content,2024,0.6985602378845215
lang_de,encoder,8,pooled_mean_all,42,0.45874926447868347
lang_de,encoder,8,pooled_mean_all,1337,0.48239749670028687
lang_de,encoder,8,pooled_mean_all,2024,0.455651193857193
lang_de,encoder,8,pooled_mean_content,42,0.6763961911201477
lang_de,encoder,8,pooled_mean_content,1337,0.681018590927124
lang_de,encoder,8,pooled_mean_content,2024,0.6763734221458435
lang_en,decoder,4,pooled_mean_all,42,0.6457836627960205
lang_en,decoder,4,pooled_mean_all,1337,0.6554632186889648
lang_en,decoder,4,pooled_mean_all,2024,0.6682440042495728
lang_en,decoder,4,pooled_mean_content,42,0.6836007833480835
lang_en,decoder,4,pooled_mean_content,1337,0.6833599805831909
lang_en,decoder,4,pooled_mean_content,2024,0.7019867897033691
lang_en,decoder,6,pooled_mean_all,42,0.6226765513420105
lang_en,decoder,6,pooled_mean_all,1337,0.6155316829681396
lang_en,decoder,6,pooled_mean_all,2024,0.6091092824935913
lang_en,decoder,6,pooled_mean_content,42,0.6471726894378662
lang_en,decoder,6,pooled_mean_content,1337,0.6333765387535095
lang_en,decoder,6,pooled_mean_content,2024,0.6292611360549927
lang_en,decoder,8,pooled_mean_all,42,0.6332246661186218
lang_en,decoder,8,pooled_mean_all,1337,0.6427679657936096
lang_en,decoder,8,pooled_mean_all,2024,0.6486084461212158
lang_en,decoder,8,pooled_mean_content,42,0.6712666153907776
lang_en,decoder,8,pooled_mean_content,1337,0.674347460269928
lang_en,decoder,8,pooled_mean_content,2024,0.6830776333808899
lang_en,encoder,4,pooled_mean_all,42,0.13106223940849304
lang_en,encoder,4,pooled_mean_all,1337,0.1308637410402298
lang_en,encoder,4,pooled_mean_all,2024,0.13072092831134796
lang_en,encoder,4,pooled_mean_content,42,0.11778207868337631
lang_en,encoder,4,pooled_mean_content,1337,0.11465757340192795
lang_en,encoder,4,pooled_mean_content,2024,0.10934071242809296
