key,direction_type,scope,source_languages,n_source_languages,n_rows_toxic,n_rows_reference,n_rows_total,seed,side,layer,pooling,space,d_model,raw_norm,normalization,language_balanced,underdetermined,is_primary,arm,norm_stats_file,injection_note,matched_to
mean_diff|lang_am|encoder|L4|pooled_mean_all|seed42,mean_diff,lang_am,am,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,3.4696061611175537,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_am|encoder|L4|pooled_mean_all|seed42|match_mean_diff,random,lang_am,am,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|lang_am|encoder|L4|pooled_mean_all|seed42
probe|lang_am|encoder|L4|pooled_mean_all|seed42,probe,lang_am,am,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.954118251800537,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,True,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_am|encoder|L4|pooled_mean_all|seed42|match_probe,random,lang_am,am,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|lang_am|encoder|L4|pooled_mean_all|seed42
mean_diff|lang_ar|encoder|L4|pooled_mean_all|seed42,mean_diff,lang_ar,ar,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,2.9804587364196777,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_ar|encoder|L4|pooled_mean_all|seed42|match_mean_diff,random,lang_ar,ar,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|lang_ar|encoder|L4|pooled_mean_all|seed42
probe|lang_ar|encoder|L4|pooled_mean_all|seed42,probe,lang_ar,ar,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.8442682027816772,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,True,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_ar|encoder|L4|pooled_mean_all|seed42|match_probe,random,lang_ar,ar,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|lang_ar|encoder|L4|pooled_mean_all|seed42
mean_diff|lang_de|encoder|L4|pooled_mean_all|seed42,mean_diff,lang_de,de,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,2.775779962539673,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_de|encoder|L4|pooled_mean_all|seed42|match_mean_diff,random,lang_de,de,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|lang_de|encoder|L4|pooled_mean_all|seed42
