direction_type,scope,side,layer,pooling,n_seeds,mean_cosine_across_seeds,min_cosine_across_seeds,max_cosine_across_seeds
mean_diff,lang_am,decoder,4,pooled_mean_all,3,0.9760103424390157,0.9738451242446899,0.9779935479164124
mean_diff,lang_am,decoder,4,pooled_mean_content,3,0.9768417278925577,0.9753518104553223,0.9788744449615479
mean_diff,lang_am,decoder,6,pooled_mean_all,3,0.9839901924133301,0.9830403327941895,0.9848713278770447
mean_diff,lang_am,decoder,6,pooled_mean_content,3,0.9842856526374817,0.9832606911659241,0.9851341247558594
mean_diff,lang_am,decoder,8,pooled_mean_all,3,0.9804210464159647,0.9785456657409668,0.9817475080490112
mean_diff,lang_am,decoder,8,pooled_mean_content,3,0.9801944891611735,0.9782083034515381,0.9812831878662109
mean_diff,lang_am,encoder,4,pooled_mean_all,3,0.9563925862312317,0.9344233870506287,0.9817904233932495
mean_diff,lang_am,encoder,4,pooled_mean_content,3,0.921434203783671,0.8712067604064941,0.9467819929122925
mean_diff,lang_am,encoder,6,pooled_mean_all,3,0.9551575581232706,0.940578043460846,0.9784121513366699
mean_diff,lang_am,encoder,6,pooled_mean_content,3,0.928955872853597,0.8946446180343628,0.9540126323699951
mean_diff,lang_am,encoder,8,pooled_mean_all,3,0.9525025486946106,0.9430893063545227,0.9686062335968018
mean_diff,lang_am,encoder,8,pooled_mean_content,3,0.9314859708150228,0.9072911143302917,0.9462153315544128
mean_diff,lang_ar,decoder,4,pooled_mean_all,3,0.9751627047856649,0.9731106758117676,0.9786581993103027
mean_diff,lang_ar,decoder,4,pooled_mean_content,3,0.9758353432019552,0.9742203950881958,0.9788193702697754
mean_diff,lang_ar,decoder,6,pooled_mean_all,3,0.9832331935564677,0.9816113710403442,0.9848393201828003
mean_diff,lang_ar,decoder,6,pooled_mean_content,3,0.983018139998118,0.9816337823867798,0.9843774437904358
mean_diff,lang_ar,decoder,8,pooled_mean_all,3,0.9830323855082194,0.9816207885742188,0.9845081567764282
mean_diff,lang_ar,decoder,8,pooled_mean_content,3,0.981408417224884,0.9798136949539185,0.9831300377845764
mean_diff,lang_ar,encoder,4,pooled_mean_all,3,0.9843676288922628,0.97930508852005,0.9914048910140991
mean_diff,lang_ar,encoder,4,pooled_mean_content,3,0.9080080588658651,0.8521044850349426,0.9404503703117371
mean_diff,lang_ar,encoder,6,pooled_mean_all,3,0.9799096385637919,0.9739967584609985,0.9903630614280701
mean_diff,lang_ar,encoder,6,pooled_mean_content,3,0.9208292762438456,0.8808656334877014,0.9412952661514282
mean_diff,lang_ar,encoder,8,pooled_mean_all,3,0.9771120349566141,0.9716407656669617,0.987617552280426
mean_diff,lang_ar,encoder,8,pooled_mean_content,3,0.9229792157808939,0.8872641921043396,0.9457873106002808
mean_diff,lang_de,decoder,4,pooled_mean_all,3,0.9740129311879476,0.969692587852478,0.9768946170806885
mean_diff,lang_de,decoder,4,pooled_mean_content,3,0.973768413066864,0.9691145420074463,0.9765391945838928
mean_diff,lang_de,decoder,6,pooled_mean_all,3,0.9850800832112631,0.9832144975662231,0.9863317608833313
mean_diff,lang_de,decoder,6,pooled_mean_content,3,0.9849038521448771,0.9831727743148804,0.9863815307617188
mean_diff,lang_de,decoder,8,pooled_mean_all,3,0.9817147850990295,0.9805513620376587,0.9825479984283447
