probe,side,layer,pooling,dev_accuracy_mean,dev_accuracy_std,dev_auc_mean,control_mean,gain_mean,n_seeds,evidence_class
condition:toxic_vs_detox_reference,decoder,4,pooled_mean_all,0.9177,0.0144,0.97,0.5535,0.3642,3,associative
condition:toxic_vs_detox_reference,decoder,4,pooled_mean_content,0.9191,0.0124,0.9698,0.5535,0.3656,3,associative
condition:toxic_vs_detox_reference,decoder,6,pooled_mean_all,0.9328,0.0012,0.9736,0.5535,0.3793,3,associative
condition:toxic_vs_detox_reference,decoder,6,pooled_mean_content,0.9307,0.0072,0.9734,0.5535,0.3772,3,associative
condition:toxic_vs_detox_reference,decoder,8,pooled_mean_all,0.8971,0.0054,0.9597,0.5535,0.3436,3,associative
condition:toxic_vs_detox_reference,decoder,8,pooled_mean_content,0.8951,0.0041,0.9608,0.5535,0.3416,3,associative
condition:toxic_vs_detox_reference,encoder,4,pooled_mean_all,0.7373,0.0012,0.8091,0.5535,0.1838,3,associative
condition:toxic_vs_detox_reference,encoder,4,pooled_mean_content,0.7353,0.0083,0.812,0.5535,0.1818,3,associative
condition:toxic_vs_detox_reference,encoder,6,pooled_mean_all,0.7641,0.0083,0.8307,0.5535,0.2106,3,associative
condition:toxic_vs_detox_reference,encoder,6,pooled_mean_content,0.7593,0.0074,0.834,0.5535,0.2058,3,associative
condition:toxic_vs_detox_reference,encoder,8,pooled_mean_all,0.7524,0.0031,0.8253,0.5535,0.1989,3,associative
condition:toxic_vs_detox_reference,encoder,8,pooled_mean_content,0.7462,0.0024,0.8209,0.5535,0.1927,3,associative
language_identity,decoder,4,pooled_mean_all,1.0,0.0,,0.4239,0.5761,3,associative
language_identity,decoder,4,pooled_mean_content,1.0,0.0,,0.4239,0.5761,3,associative
language_identity,decoder,6,pooled_mean_all,1.0,0.0,,0.4239,0.5761,3,associative
language_identity,decoder,6,pooled_mean_content,1.0,0.0,,0.4239,0.5761,3,associative
language_identity,decoder,8,pooled_mean_all,1.0,0.0,,0.4239,0.5761,3,associative
language_identity,decoder,8,pooled_mean_content,1.0,0.0,,0.4239,0.5761,3,associative
language_identity,encoder,4,pooled_mean_all,1.0,0.0,,0.4239,0.5761,3,associative
language_identity,encoder,4,pooled_mean_content,1.0,0.0,,0.4239,0.5761,3,associative
language_identity,encoder,6,pooled_mean_all,1.0,0.0,,0.4239,0.5761,3,associative
language_identity,encoder,6,pooled_mean_content,1.0,0.0,,0.4239,0.5761,3,associative
language_identity,encoder,8,pooled_mean_all,1.0,0.0,,0.4239,0.5761,3,associative
language_identity,encoder,8,pooled_mean_content,1.0,0.0,,0.4239,0.5761,3,associative
