side,source,target,transfer_type,dev_accuracy_mean,dev_accuracy_sd,dev_auc_mean,n_seeds,evidence_class,length_only_control_for_target
decoder,EN_DE_ES,xh,cross_language,0.6728,0.0214,1.0,3,associative,0.7222
decoder,EN_DE_ES,yo,cross_language,0.6914,0.0595,1.0,3,associative,0.7037
decoder,YO_XH,am,cross_language,0.963,0.0185,0.9698,3,associative,0.5741
decoder,YO_XH,ar,cross_language,0.6543,0.0385,0.7334,3,associative,0.5
decoder,YO_XH,de,cross_language,0.7654,0.0107,0.8326,3,associative,0.537
decoder,YO_XH,en,cross_language,0.6728,0.0385,0.8203,3,associative,0.5926
decoder,YO_XH,es,cross_language,0.784,0.0283,0.8404,3,associative,0.5926
decoder,YO_XH,hi,cross_language,0.8148,0.0321,0.8619,3,associative,0.5741
decoder,YO_XH,uk,cross_language,0.7222,0.0185,0.8221,3,associative,0.5185
decoder,all_non_african,xh,cross_language,0.6975,0.0566,0.9922,3,associative,0.7222
decoder,all_non_african,yo,cross_language,0.8272,0.0385,1.0,3,associative,0.7037
decoder,am,am,within_language,0.9506,0.0107,0.9922,3,associative,0.5741
decoder,ar,ar,within_language,0.8889,0.0321,0.9438,3,associative,0.5
decoder,de,de,within_language,0.9074,0.0321,0.952,3,associative,0.537
decoder,en,en,within_language,0.9691,0.0107,0.9863,3,associative,0.5926
decoder,es,es,within_language,0.8765,0.0107,0.9374,3,associative,0.5926
decoder,hi,hi,within_language,0.9568,0.0107,0.9931,3,associative,0.5741
decoder,uk,uk,within_language,0.8457,0.0385,0.9278,3,associative,0.5185
decoder,xh,xh,within_language,1.0,0.0,1.0,3,associative,0.7222
decoder,yo,yo,within_language,1.0,0.0,1.0,3,associative,0.7037
encoder,EN_DE_ES,xh,cross_language,0.5,0.0,0.7627,3,associative,0.7222
encoder,EN_DE_ES,yo,cross_language,0.4938,0.0107,0.3493,3,associative,0.7037
encoder,YO_XH,am,cross_language,0.5679,0.0283,0.5766,3,associative,0.5741
encoder,YO_XH,ar,cross_language,0.5123,0.0428,0.4824,3,associative,0.5
encoder,YO_XH,de,cross_language,0.5062,0.0107,0.5025,3,associative,0.537
encoder,YO_XH,en,cross_language,0.5988,0.095,0.6598,3,associative,0.5926
encoder,YO_XH,es,cross_language,0.5062,0.0466,0.5085,3,associative,0.5926
encoder,YO_XH,hi,cross_language,0.6914,0.0385,0.7202,3,associative,0.5741
encoder,YO_XH,uk,cross_language,0.5679,0.0107,0.5734,3,associative,0.5185
encoder,all_non_african,xh,cross_language,0.5062,0.0107,0.7279,3,associative,0.7222
encoder,all_non_african,yo,cross_language,0.537,0.0185,0.5583,3,associative,0.7037
encoder,am,am,within_language,0.8333,0.0321,0.8948,3,associative,0.5741
encoder,ar,ar,within_language,0.7284,0.0107,0.7641,3,associative,0.5
encoder,de,de,within_language,0.7099,0.0283,0.8304,3,associative,0.537
encoder,en,en,within_language,0.8951,0.0107,0.9428,3,associative,0.5926
encoder,es,es,within_language,0.7654,0.0214,0.8336,3,associative,0.5926
encoder,hi,hi,within_language,0.8827,0.0107,0.9456,3,associative,0.5741
encoder,uk,uk,within_language,0.7654,0.0107,0.8057,3,associative,0.5185
encoder,xh,xh,within_language,0.8025,0.0107,0.8564,3,associative,0.7222
encoder,yo,yo,within_language,0.9198,0.0107,0.9666,3,associative,0.7037
