split,intervention,family,n_seeds,delta_sta,delta_sta_ci,delta_sta_verdict,effect_size_sta,delta_sim,delta_sim_ci,delta_sim_verdict,effect_size_sim,delta_fl,delta_fl_ci,delta_fl_verdict,effect_size_fl,delta_j,delta_j_ci,delta_j_verdict,effect_size_j,overall_verdict
dev,language_detectors,ablation_primary,3,-0.001,"[-0.0318, +0.0273]",null (CI includes zero),-0.006,0.004,"[-0.0037, +0.0121]",null (CI includes zero),0.062,-0.0021,"[-0.0088, +0.0044]",null (CI includes zero),-0.039,-0.0049,"[-0.0258, +0.0153]",null (CI includes zero),-0.032,null (CI includes zero)
dev,top_decoder_cross_heads,ablation_primary,3,0.1748,"[+0.1191, +0.2340]",causal-beneficial,0.418,-0.0689,"[-0.0844, -0.0547]",causal-harmful,-0.543,-0.0281,"[-0.0423, -0.0146]",causal-harmful,-0.249,0.0659,"[+0.0291, +0.1054]",causal-beneficial,0.24,"causal but harmful trade-off (STA up, SIM down)"
dev,top_decoder_mlp_neurons,ablation_primary,3,-0.0031,"[-0.0261, +0.0210]",null (CI includes zero),-0.016,0.0023,"[-0.0041, +0.0087]",null (CI includes zero),0.049,0.0003,"[-0.0041, +0.0045]",null (CI includes zero),0.004,-0.004,"[-0.0200, +0.0123]",null (CI includes zero),-0.03,null (CI includes zero)
dev,top_decoder_self_heads,ablation_primary,3,0.0484,"[+0.0097, +0.0874]",causal-beneficial,0.172,-0.0131,"[-0.0234, -0.0033]",causal-harmful,-0.169,-0.0006,"[-0.0085, +0.0075]",null (CI includes zero),-0.008,0.0231,"[-0.0038, +0.0507]",null (CI includes zero),0.117,"causal but harmful trade-off (STA up, SIM down)"
dev,top_encoder_components,ablation_primary,3,0.0334,"[+0.0030, +0.0651]",causal-beneficial,0.144,-0.0213,"[-0.0344, -0.0102]",causal-harmful,-0.205,-0.0016,"[-0.0090, +0.0058]",null (CI includes zero),-0.027,0.0226,"[-0.0008, +0.0472]",null (CI includes zero),0.13,"causal but harmful trade-off (STA up, SIM down)"
dev,top_mean_diff_direction,ablation_primary,3,0.1119,"[+0.0632, +0.1615]",causal-beneficial,0.313,-0.0431,"[-0.0569, -0.0297]",causal-harmful,-0.382,-0.0228,"[-0.0352, -0.0096]",causal-harmful,-0.216,0.0438,"[+0.0085, +0.0781]",causal-beneficial,0.173,"causal but harmful trade-off (STA up, SIM down)"
dev,top_probe_direction,ablation_primary,3,0.1575,"[+0.1008, +0.2144]",causal-beneficial,0.391,-0.0624,"[-0.0774, -0.0484]",causal-harmful,-0.492,-0.03,"[-0.0446, -0.0160]",causal-harmful,-0.253,0.0583,"[+0.0220, +0.0984]",causal-beneficial,0.213,"causal but harmful trade-off (STA up, SIM down)"
dev,random_heads_matched,ablation_random_control,3,-0.0125,"[-0.0498, +0.0236]",null (CI includes zero),-0.043,-0.0073,"[-0.0154, +0.0006]",null (CI includes zero),-0.111,-0.0052,"[-0.0125, +0.0020]",null (CI includes zero),-0.097,-0.0207,"[-0.0460, +0.0031]",null (CI includes zero),-0.11,control -- null (CI includes zero)
dev,random_neurons_matched,ablation_random_control,3,0.0029,"[-0.0070, +0.0142]",null (CI includes zero),0.007,-0.0003,"[-0.0035, +0.0027]",null (CI includes zero),-0.038,0.0003,"[-0.0026, +0.0034]",null (CI includes zero),0.017,0.0009,"[-0.0046, +0.0073]",null (CI includes zero),0.011,control -- null (CI includes zero)
dev,sae_replicated_features,ablation_sae_control,3,0.0092,"[-0.0177, +0.0381]",null (CI includes zero),0.047,-0.0011,"[-0.0094, +0.0069]",null (CI includes zero),-0.019,-0.0003,"[-0.0065, +0.0060]",null (CI includes zero),-0.002,0.0044,"[-0.0139, +0.0245]",null (CI includes zero),0.033,control -- null (CI includes zero)
test,language_detectors,ablation_primary,3,-0.0122,"[-0.0461, +0.0201]",null (CI includes zero),-0.052,0.005,"[-0.0029, +0.0139]",null (CI includes zero),0.07,0.0002,"[-0.0063, +0.0064]",null (CI includes zero),0.007,-0.003,"[-0.0258, +0.0210]",null (CI includes zero),-0.021,null (CI includes zero)
test,top_decoder_cross_heads,ablation_primary,3,0.0909,"[+0.0378, +0.1460]",causal-beneficial,0.236,-0.0659,"[-0.0835, -0.0498]",causal-harmful,-0.458,-0.0329,"[-0.0477, -0.0186]",causal-harmful,-0.278,0.0144,"[-0.0205, +0.0501]",null (CI includes zero),0.058,"causal but harmful trade-off (STA up, SIM down)"
test,top_decoder_mlp_neurons,ablation_primary,3,-0.0216,"[-0.0447, -0.0022]",causal-harmful,-0.13,0.0009,"[-0.0063, +0.0082]",null (CI includes zero),0.039,-0.001,"[-0.0040, +0.0020]",null (CI includes zero),-0.038,-0.014,"[-0.0309, -0.0003]",causal-harmful,-0.114,causal-harmful
test,top_decoder_self_heads,ablation_primary,3,0.0319,"[-0.0024, +0.0688]",null (CI includes zero),0.124,-0.0127,"[-0.0239, -0.0021]",causal-harmful,-0.149,-0.0089,"[-0.0182, -0.0004]",causal-harmful,-0.125,0.01,"[-0.0147, +0.0349]",null (CI includes zero),0.057,null (CI includes zero)
test,top_encoder_components,ablation_primary,3,0.0197,"[-0.0129, +0.0535]",null (CI includes zero),0.083,-0.0181,"[-0.0316, -0.0061]",causal-harmful,-0.168,0.0014,"[-0.0052, +0.0085]",null (CI includes zero),0.023,0.016,"[-0.0048, +0.0393]",null (CI includes zero),0.099,null (CI includes zero)
