intervention,family,language,delta_sta,delta_sim,delta_fl,delta_j,delta_loose_copy_rate,delta_unique_output_rate,delta_top_output_share,delta_template_rate,sta_status,sta_note
language_detectors,ablation_primary,am,-0.0052,-0.0079,-0.0059,-0.0039,-0.0513,0.0,0.0,0.0,validated,validated
top_encoder_components,ablation_primary,am,0.005,-0.002,0.0002,0.0123,-0.1282,0.0,0.0,0.0,validated,validated
top_decoder_self_heads,ablation_primary,am,0.0936,-0.0404,-0.0296,0.0208,-0.1923,0.0,0.0,0.0,validated,validated
top_decoder_mlp_neurons,ablation_primary,am,0.0006,0.0009,0.0012,0.0021,0.0256,0.0,0.0,0.0,validated,validated
top_decoder_cross_heads,ablation_primary,am,0.1347,-0.1702,-0.1159,-0.0264,-0.3333,0.0,0.0,0.0,validated,validated
top_probe_direction,ablation_primary,am,0.1545,-0.1941,-0.1278,-0.0437,-0.359,0.0,0.0,0.0,validated,validated
sae_replicated_features,ablation_sae_control,am,0.0032,-0.0033,-0.0041,-0.0047,-0.1154,0.0,0.0,0.0,validated,validated
random_neurons_matched,ablation_random_control,am,0.0001,-0.0004,0.0004,0.0002,0.0256,0.0,0.0,0.0,validated,validated
random_heads_matched,ablation_random_control,am,-0.0039,-0.0062,-0.007,-0.0094,0.0,0.0,0.0,0.0,validated,validated
top_mean_diff_direction,ablation_primary,am,0.1008,-0.1145,-0.0644,0.0014,-0.2692,0.0,0.0,0.0,validated,validated
random_heads_matched,ablation_random_control,ar,-0.0199,0.004,-0.0042,-0.0185,0.0513,0.0,0.0,0.0,validated,validated
top_decoder_cross_heads,ablation_primary,ar,0.0999,-0.039,-0.0101,0.0468,-0.2308,0.0,0.0,0.0,validated,validated
top_decoder_self_heads,ablation_primary,ar,0.0008,-0.0014,-0.0042,-0.0027,0.0,0.0,0.0,0.0,validated,validated
sae_replicated_features,ablation_sae_control,ar,-0.0118,0.0023,-0.0003,-0.01,0.0128,0.0,0.0,0.0,validated,validated
top_decoder_mlp_neurons,ablation_primary,ar,0.0059,0.0032,0.0049,0.006,0.0128,0.0,0.0,0.0,validated,validated
top_mean_diff_direction,ablation_primary,ar,0.0511,-0.0196,-0.0077,0.0336,-0.0897,0.0,0.0,0.0,validated,validated
random_neurons_matched,ablation_random_control,ar,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,validated,validated
language_detectors,ablation_primary,ar,0.0057,0.0037,-0.0104,-0.0016,0.0513,0.0,0.0,0.0,validated,validated
top_probe_direction,ablation_primary,ar,0.0916,-0.0441,-0.0066,0.0591,-0.2308,0.0,0.0,0.0,validated,validated
top_encoder_components,ablation_primary,ar,0.0254,0.0013,0.0032,0.0246,0.0,0.0,0.0,0.0,validated,validated
top_decoder_mlp_neurons,ablation_primary,de,-0.021,0.0056,-0.0021,-0.0112,0.0641,0.0,0.0,0.0,validated,validated
top_decoder_cross_heads,ablation_primary,de,0.0349,-0.0394,-0.0363,-0.023,-0.359,0.0,0.0,0.0,validated,validated
random_heads_matched,ablation_random_control,de,-0.0308,0.0003,-0.0055,-0.0283,-0.0128,0.0,0.0,0.0,validated,validated
language_detectors,ablation_primary,de,-0.0467,0.0062,-0.0033,-0.0329,0.0128,0.0,0.0,0.0,validated,validated
sae_replicated_features,ablation_sae_control,de,0.0008,-0.0042,-0.0025,-0.0044,-0.0769,0.0,0.0,0.0,validated,validated
