side,source_group,target_language,vector_type,strength,sta_validated,sim,fl,j_validated,loose_copy_rate,unique_output_rate,top_output_share,template_rate,sta_status,n_seeds,evidence_class
decoder,EN_DE_ES,xh,baseline,0.0,,0.3794,0.1934,,0.037,0.4815,0.4568,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,mean_diff,-1.0,,0.3792,0.1937,,0.037,0.4568,0.4815,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,mean_diff,-0.5,,0.3784,0.1939,,0.037,0.4691,0.4691,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,mean_diff,0.25,,0.3808,0.1949,,0.037,0.4691,0.4691,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,mean_diff,0.5,,0.3831,0.1949,,0.037,0.4691,0.4691,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,mean_diff,1.0,,0.3862,0.1997,,0.037,0.4691,0.4815,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,probe,-1.0,,0.382,0.1977,,0.037,0.4568,0.4815,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,probe,-0.5,,0.3794,0.1934,,0.037,0.4815,0.4568,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,probe,0.25,,0.3808,0.1949,,0.037,0.4691,0.4691,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,probe,0.5,,0.3808,0.1949,,0.037,0.4691,0.4691,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,probe,1.0,,0.3808,0.1949,,0.037,0.4691,0.4691,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,random,-1.0,,0.3808,0.1949,,0.037,0.4691,0.4691,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,random,-0.5,,0.3808,0.1949,,0.037,0.4691,0.4691,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,random,0.25,,0.3794,0.1934,,0.037,0.4815,0.4568,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,random,0.5,,0.3794,0.1934,,0.037,0.4815,0.4568,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,xh,random,1.0,,0.381,0.1982,,0.037,0.4691,0.4691,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,baseline,0.0,,0.4181,0.272,,0.0988,0.679,0.284,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,mean_diff,-1.0,,0.4151,0.2726,,0.0864,0.679,0.284,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,mean_diff,-0.5,,0.4146,0.2726,,0.0864,0.679,0.284,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,mean_diff,0.25,,0.4181,0.272,,0.0988,0.679,0.284,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,mean_diff,0.5,,0.4181,0.272,,0.0988,0.679,0.284,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,mean_diff,1.0,,0.427,0.2715,,0.1111,0.716,0.2346,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,probe,-1.0,,0.4146,0.2726,,0.0864,0.679,0.284,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,probe,-0.5,,0.4146,0.2726,,0.0864,0.679,0.284,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,probe,0.25,,0.4181,0.272,,0.0988,0.679,0.284,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,probe,0.5,,0.4181,0.272,,0.0988,0.679,0.284,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,probe,1.0,,0.4207,0.2719,,0.0988,0.679,0.284,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,random,-1.0,,0.4186,0.2719,,0.0988,0.679,0.284,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,random,-0.5,,0.4177,0.2716,,0.0988,0.679,0.284,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,random,0.25,,0.4181,0.272,,0.0988,0.679,0.284,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,random,0.5,,0.4181,0.272,,0.0988,0.679,0.284,0.0,unavailable/unvalidated,3,null
decoder,EN_DE_ES,yo,random,1.0,,0.4189,0.27,,0.0988,0.679,0.2716,0.0,unavailable/unvalidated,3,null
decoder,YO_XH,am,baseline,0.0,0.471,0.9624,0.4324,0.2173,0.3951,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,mean_diff,-1.0,0.4841,0.9611,0.4314,0.2218,0.3827,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,mean_diff,-0.5,0.471,0.9618,0.4312,0.2173,0.3827,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,mean_diff,0.25,0.4711,0.9629,0.4328,0.218,0.4074,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,mean_diff,0.5,0.4711,0.9629,0.4328,0.218,0.4074,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,mean_diff,1.0,0.4711,0.963,0.433,0.2183,0.4198,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,probe,-1.0,0.471,0.9618,0.4312,0.2173,0.3827,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,probe,-0.5,0.471,0.9624,0.4324,0.2173,0.3951,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,probe,0.25,0.471,0.9624,0.4324,0.2173,0.3951,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,probe,0.5,0.4711,0.9629,0.4328,0.218,0.4074,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,probe,1.0,0.4711,0.9629,0.4328,0.218,0.4074,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,random,-1.0,0.4711,0.9629,0.4328,0.218,0.4074,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,random,-0.5,0.4711,0.9629,0.4328,0.218,0.4074,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,random,0.25,0.471,0.9624,0.4324,0.2173,0.3951,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,random,0.5,0.471,0.9624,0.4324,0.2173,0.3951,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,am,random,1.0,0.471,0.9624,0.4324,0.2173,0.3951,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,baseline,0.0,0.4439,0.9705,0.7503,0.3381,0.5802,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,mean_diff,-1.0,0.4317,0.9723,0.7484,0.327,0.5926,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,mean_diff,-0.5,0.4439,0.9705,0.7503,0.3381,0.5679,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,mean_diff,0.25,0.4342,0.9706,0.7503,0.3316,0.5926,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,mean_diff,0.5,0.4231,0.975,0.753,0.3272,0.5926,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,mean_diff,1.0,0.4231,0.975,0.753,0.3272,0.6049,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,probe,-1.0,0.4439,0.9712,0.7507,0.3381,0.5926,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,probe,-0.5,0.4439,0.9712,0.7507,0.3381,0.5926,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,probe,0.25,0.4342,0.9706,0.7503,0.3316,0.5926,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,probe,0.5,0.4342,0.9706,0.7503,0.3316,0.5926,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,probe,1.0,0.4342,0.9706,0.7503,0.3316,0.5926,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,random,-1.0,0.4439,0.9705,0.7503,0.3381,0.5679,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,random,-0.5,0.4439,0.9705,0.7503,0.3381,0.5802,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,random,0.25,0.4342,0.9706,0.7503,0.3316,0.5926,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,random,0.5,0.4342,0.9706,0.7503,0.3316,0.5926,1.0,0.037,0.0,validated,3,null
decoder,YO_XH,ar,random,1.0,0.4342,0.9706,0.7503,0.3316,0.5926,1.0,0.037,0.0,validated,3,null
