seed,side,scope,vector_type,stage12_scope,cosine_vs_stage12
42,encoder,all_non_african,mean_diff,pooled_non_african,1.0000001192092896
42,encoder,all_non_african,probe,pooled_non_african,1.0
42,encoder,YO_XH,mean_diff,pooled_african,1.0000001192092896
42,encoder,YO_XH,probe,pooled_african,1.0
42,decoder,all_non_african,mean_diff,pooled_non_african,0.9999999403953552
42,decoder,all_non_african,probe,pooled_non_african,1.0
42,decoder,YO_XH,mean_diff,pooled_african,1.0
42,decoder,YO_XH,probe,pooled_african,1.0
1337,encoder,all_non_african,mean_diff,pooled_non_african,1.0
1337,encoder,all_non_african,probe,pooled_non_african,1.0
1337,encoder,YO_XH,mean_diff,pooled_african,1.0
1337,encoder,YO_XH,probe,pooled_african,1.0
1337,decoder,all_non_african,mean_diff,pooled_non_african,1.0
1337,decoder,all_non_african,probe,pooled_non_african,0.9999999403953552
1337,decoder,YO_XH,mean_diff,pooled_african,1.0
1337,decoder,YO_XH,probe,pooled_african,1.0000001192092896
2024,encoder,all_non_african,mean_diff,pooled_non_african,1.0000001192092896
2024,encoder,all_non_african,probe,pooled_non_african,1.0000001192092896
2024,encoder,YO_XH,mean_diff,pooled_african,1.0
2024,encoder,YO_XH,probe,pooled_african,1.0
2024,decoder,all_non_african,mean_diff,pooled_non_african,1.0
2024,decoder,all_non_african,probe,pooled_non_african,1.0
2024,decoder,YO_XH,mean_diff,pooled_african,1.0000001192092896
2024,decoder,YO_XH,probe,pooled_african,1.0
